platform,reviewsalltime,recent3years,recent2years,recent1years
healthgrades,2120982,1183513 (55.80%),787127 (37.11%),397073 (18.72%)
vitals,2078298,577467 (27.79%),300225 (14.45%),106058 (5.10%)
ratemds,290935,39309 (13.51%),23585 (8.11%),11700 (4.02%)
yelp,220400,66103 (29.99%),38320 (17.39%),17808 (8.08%)
zocdoc,385142,145457 (37.77%),98813 (25.66%),60995 (15.84%)
all,4710615,1866392 (39.62%),1149257 (24.40%),532639 (11.31%)
all(zocdoc),5095757,2011849 (39.48%),1248070 (24.49%),593634 (11.65%)
