,platform,average_days,average_years
0,healthgrades,1002.2434606481481,2.7439930476335337
1,vitals,2222.3141087962963,6.084364432022714
2,ratemds,2847.8337615740743,7.796943905746952
3,yelp,1862.3231597222223,5.098762928739828
4,zocdoc,1474.0366898148147,4.035692511471088
5,all,1936.799085648148,5.302666901158516
6,all(zocdoc),1909.2272337962963,5.227179284863234
