,platform,average_days,average_years
0,healthgrades,1002.2434606481481,2.7439930476335337
1,vitals,2157.7306944444445,5.907544680203817
2,ratemds,2832.3321180555554,7.754502718837934
3,yelp,1862.3231597222223,5.098762928739828
4,zocdoc,1522.2106597222223,4.167585652901361
5,all,1665.3087268518518,4.5593668086293
6,all(zocdoc),1654.4932523148148,4.529755653154866
