,healthgrades,vitals,ratemds,yelp,zocdoc
2004-02-01,,,19,,
2004-03-01,,,14,,
2004-04-01,,,11,,
2004-05-01,,,7,,
2004-06-01,,,12,,
2004-07-01,,,29,,
2004-08-01,,,53,,
2004-09-01,,,77,,
2004-10-01,,,79,3.0,
2004-11-01,,,71,,
2004-12-01,,,96,1.0,
2005-01-01,,,98,1.0,
2005-02-01,,,92,,
2005-03-01,,,89,1.0,
2005-04-01,,,63,4.0,
2005-05-01,,,95,3.0,
2005-06-01,,,93,6.0,
2005-07-01,,,157,9.0,
2005-08-01,,,227,3.0,
2005-09-01,,,253,5.0,
2005-10-01,,,264,7.0,
2005-11-01,,,411,9.0,
2005-12-01,,,381,4.0,
2006-01-01,,,334,16.0,
2006-02-01,,,286,12.0,
2006-03-01,,,450,12.0,
2006-04-01,,,351,10.0,
2006-05-01,,,285,18.0,
2006-06-01,,,418,20.0,
2006-07-01,,,591,20.0,
2006-08-01,,,605,25.0,
2006-09-01,,,666,32.0,
2006-10-01,,,675,32.0,
2006-11-01,,,734,35.0,
2006-12-01,,,590,38.0,
2007-01-01,,,879,61.0,
2007-02-01,,,720,54.0,
2007-03-01,,,1245,78.0,
2007-04-01,,,1224,75.0,
2007-05-01,,,845,98.0,
2007-06-01,,,793,101.0,
2007-07-01,,,997,95.0,
2007-08-01,,,1062,119.0,
2007-09-01,,,896,118.0,
2007-10-01,,,834,124.0,
2007-11-01,,,832,136.0,
2007-12-01,,2.0,879,114.0,
2008-01-01,,283.0,1260,164.0,
2008-02-01,,433.0,1337,165.0,1.0
2008-03-01,,1139.0,1635,176.0,1.0
2008-04-01,,1501.0,1720,208.0,4.0
2008-05-01,,1872.0,1453,213.0,3.0
2008-06-01,,2069.0,1804,204.0,8.0
2008-07-01,,2414.0,1864,254.0,5.0
2008-08-01,,2632.0,1590,236.0,13.0
2008-09-01,,3028.0,1114,234.0,11.0
2008-10-01,,3424.0,1333,214.0,12.0
2008-11-01,,2354.0,1321,209.0,15.0
2008-12-01,,2689.0,1557,240.0,20.0
2009-01-01,,4215.0,1783,317.0,30.0
2009-02-01,,4852.0,1793,301.0,27.0
2009-03-01,,7755.0,4683,381.0,21.0
2009-04-01,,6201.0,1907,341.0,18.0
2009-05-01,,5917.0,1995,312.0,38.0
2009-06-01,,5006.0,1775,363.0,31.0
