Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),719717,333990,246960,168130,168130 (100.00%),3.99 (1.36),3.94 (0.81),977455/1748293 (55.91%),38735 (23.04%),2.02 (1.03),3.56 (0.75),97740/242982 (40.23%),72010 (42.83%),4.38 (0.89),4.31 (0.82),704828/1132193 (62.25%),57385 (34.13%),4.83 (0.45),3.74 (0.62),174887/373118 (46.87%)
vitals,Rct3Y (2018-08-01),720293,367451,193775,148731,148731 (100.00%),3.65 (1.60),3.94 (0.72),475564/1434075 (33.16%),53541 (36.00%),1.81 (0.96),3.66 (0.66),121899/461915 (26.39%),42532 (28.60%),4.41 (0.90),4.31 (0.80),243188/567084 (42.88%),52658 (35.40%),4.92 (0.33),3.92 (0.54),110477/405076 (27.27%)
ratemds,Rct3Y (2018-08-01),152678,49363,12623,10574,10574 (100.00%),3.56 (1.53),3.67 (0.95),34271/141977 (24.14%),3369 (31.86%),1.83 (0.82),3.30 (0.74),5308/38279 (13.87%),4006 (37.89%),4.09 (1.21),4.04 (1.15),23214/66709 (34.80%),3199 (30.25%),4.74 (0.54),3.59 (0.67),5749/36989 (15.54%)
yelp,Rct3Y (2018-08-01),30902,19532,14144,11657,11657 (100.00%),3.50 (1.42),3.57 (1.02),59943/194456 (30.83%),3413 (29.28%),2.10 (1.05),3.33 (0.83),11978/47843 (25.04%),4919 (42.20%),3.76 (1.21),3.78 (1.21),37748/104120 (36.25%),3325 (28.52%),4.56 (0.75),3.49 (0.80),10217/42493 (24.04%)
zocdoc,Rct3Y (2018-08-01),160694,20427,12328,7941,7941 (100.00%),4.77 (0.50),4.75 (0.23),97840/245348 (39.88%),453 (5.70%),3.23 (0.98),4.50 (0.36),2021/9949 (20.31%),7218 (90.90%),4.86 (0.24),4.78 (0.19),94622/229588 (41.21%),270 (3.40%),4.96 (0.13),4.27 (0.24),1197/5811 (20.60%)
all,Rct3Y (2018-08-01),887354,493255,334563,264811,264811 (100.00%),3.87 (1.39),3.87 (0.83),1675604/4039094 (41.48%),73079 (27.60%),2.08 (1.00),3.64 (0.72),251825/848382 (29.68%),101463 (38.32%),4.31 (0.90),4.22 (0.80),1026268/2145426 (47.84%),90269 (34.09%),4.81 (0.50),3.64 (0.79),397511/1045286 (38.03%)
all(zocdoc),Rct3Y (2018-08-01),887354,495527,337591,267694,267694 (100.00%),3.89 (1.37),3.88 (0.82),1797237/4376517 (41.07%),72128 (26.94%),2.10 (1.00),3.66 (0.72),251606/869367 (28.94%),104243 (38.94%),4.34 (0.88),4.24 (0.78),1104633/2350700 (46.99%),91323 (34.11%),4.81 (0.50),3.64 (0.79),440998/1156450 (38.13%)
