Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct2Y (2019-08-01),719717,333990,196538,57363,57363 (100.00%),4.04 (1.32),4.00 (0.76),454949/1247355 (36.47%),12954 (22.58%),2.05 (1.04),3.65 (0.74),33838/171089 (19.78%),25591 (44.61%),4.47 (0.78),4.37 (0.70),349483/831199 (42.05%),18818 (32.81%),4.82 (0.44),3.72 (0.61),71628/245067 (29.23%)
vitals,Rct2Y (2019-08-01),720293,497593,131675,99578,99578 (100.00%),3.60 (1.71),3.95 (0.68),308081/2694407 (11.43%),36770 (36.93%),1.55 (0.87),3.65 (0.65),68829/929229 (7.41%),24171 (24.27%),4.57 (0.78),4.43 (0.67),160849/825239 (19.49%),38637 (38.80%),4.95 (0.26),3.94 (0.52),78403/939939 (8.34%)
ratemds,Rct2Y (2019-08-01),152678,50377,8458,4494,4494 (100.00%),3.59 (1.55),3.73 (0.86),15783/99808 (15.81%),1535 (34.16%),1.78 (0.80),3.36 (0.74),2347/26713 (8.79%),1500 (33.38%),4.28 (1.03),4.21 (0.94),10765/48089 (22.39%),1459 (32.47%),4.78 (0.47),3.64 (0.65),2671/25006 (10.68%)
yelp,Rct2Y (2019-08-01),30902,19532,11196,6675,6675 (100.00%),3.53 (1.43),3.65 (0.90),30010/167310 (17.94%),2314 (34.67%),2.11 (1.06),3.45 (0.85),7841/51088 (15.35%),2032 (30.44%),3.86 (1.02),3.89 (1.02),15400/69173 (22.26%),2329 (34.89%),4.67 (0.66),3.64 (0.80),6769/47049 (14.39%)
zocdoc,Rct2Y (2019-08-01),160694,22042,11597,7048,7048 (100.00%),4.78 (0.50),4.75 (0.22),91107/310275 (29.36%),389 (5.52%),3.22 (1.00),4.54 (0.31),1693/12779 (13.25%),6440 (91.37%),4.87 (0.23),4.78 (0.19),88407/290168 (30.47%),219 (3.11%),4.96 (0.13),4.26 (0.24),1007/7328 (13.74%)
all,Rct2Y (2019-08-01),887354,587562,266008,189672,189672 (100.00%),3.85 (1.47),3.92 (0.74),1039034/6058122 (17.15%),56004 (29.53%),1.92 (0.98),3.67 (0.69),155661/1557421 (9.99%),63726 (33.60%),4.42 (0.83),4.30 (0.71),605708/2589254 (23.39%),69942 (36.88%),4.88 (0.37),3.78 (0.65),277665/1911447 (14.53%)
all(zocdoc),Rct2Y (2019-08-01),887354,589250,270147,193918,193918 (100.00%),3.89 (1.45),3.94 (0.73),1158937/6541237 (17.72%),55157 (28.44%),1.93 (0.99),3.69 (0.69),155002/1574815 (9.84%),66971 (34.54%),4.45 (0.80),4.32 (0.69),673681/2865204 (23.51%),71790 (37.02%),4.88 (0.37),3.77 (0.65),330254/2101218 (15.72%)
