Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),117307,113409,101377,41534,41534 (100.00%),4.05 (1.16),3.98 (0.76),517751/1017172 (50.90%),8027 (19.33%),2.33 (1.01),3.67 (0.73),31690/110271 (28.74%),21950 (52.85%),4.35 (0.80),4.26 (0.73),415414/737668 (56.31%),11557 (27.83%),4.69 (0.54),3.67 (0.63),70647/169233 (41.75%)
vitals,Rct3Y (2018-08-01),116091,112558,85344,57579,57579 (100.00%),3.62 (1.50),3.95 (0.63),269846/999532 (27.00%),22076 (38.34%),2.01 (0.98),3.76 (0.60),63703/323165 (19.71%),16691 (28.99%),4.31 (0.81),4.22 (0.68),150623/414072 (36.38%),18812 (32.67%),4.89 (0.35),3.95 (0.52),55520/262295 (21.17%)
ratemds,Rct3Y (2018-08-01),29159,24283,9337,5928,5928 (100.00%),3.57 (1.49),3.71 (0.83),24840/121446 (20.45%),2026 (34.18%),1.86 (0.82),3.38 (0.72),3678/33193 (11.08%),1975 (33.32%),4.16 (1.03),4.09 (0.94),16987/56120 (30.27%),1927 (32.51%),4.75 (0.49),3.66 (0.64),4175/32133 (12.99%)
yelp,Rct3Y (2018-08-01),15926,13964,11293,6693,6693 (100.00%),3.57 (1.26),3.64 (0.89),48028/170938 (28.10%),1935 (28.91%),2.31 (1.03),3.47 (0.83),9206/41451 (22.21%),2859 (42.72%),3.77 (0.95),3.80 (0.96),31203/93157 (33.50%),1899 (28.37%),4.56 (0.72),3.58 (0.81),7619/36330 (20.97%)
zocdoc,Rct3Y (2018-08-01),28055,8684,5092,3312,3312 (100.00%),4.75 (0.50),4.72 (0.23),45343/126030 (35.98%),176 (5.31%),3.20 (1.01),4.51 (0.35),858/5061 (16.95%),3026 (91.36%),4.84 (0.26),4.74 (0.20),43936/118094 (37.20%),110 (3.32%),4.95 (0.15),4.26 (0.24),549/2875 (19.10%)
all,Rct3Y (2018-08-01),125030,125030,117861,106200,106200 (100.00%),3.85 (1.20),3.91 (0.68),1184331/3074017 (38.53%),28850 (27.17%),2.38 (0.91),3.71 (0.63),152356/611060 (24.93%),48104 (45.30%),4.20 (0.79),4.13 (0.68),771087/1738618 (44.35%),29246 (27.54%),4.74 (0.47),3.76 (0.61),260888/724339 (36.02%)
all(zocdoc),Rct3Y (2018-08-01),125030,125030,117990,106769,106769 (100.00%),3.88 (1.18),3.93 (0.67),1254044/3266755 (38.39%),28361 (26.56%),2.40 (0.92),3.73 (0.63),152651/621423 (24.56%),49143 (46.03%),4.23 (0.77),4.15 (0.67),823225/1871891 (43.98%),29265 (27.41%),4.74 (0.47),3.76 (0.61),278168/773441 (35.96%)
