Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),117307,113409,64501,46671,46671 (100.00%),4.07 (1.44),4.05 (0.75),256939/1123818 (22.86%),10909 (23.37%),1.80 (1.01),3.65 (0.75),20668/175376 (11.78%),19079 (40.88%),4.65 (0.68),4.52 (0.61),188451/707140 (26.65%),16683 (35.75%),4.90 (0.34),3.77 (0.59),47820/241302 (19.82%)
vitals,Rct1Y (2020-08-01),116091,112558,25374,21234,21234 (100.00%),3.64 (1.78),4.00 (0.69),71456/492934 (14.50%),7452 (35.09%),1.34 (0.75),3.64 (0.67),9838/124850 (7.88%),5527 (26.03%),4.75 (0.64),4.57 (0.57),44194/220512 (20.04%),8255 (38.88%),4.97 (0.20),3.94 (0.51),17424/147572 (11.81%)
ratemds,Rct1Y (2020-08-01),29159,24283,3904,2789,2789 (100.00%),3.57 (1.59),3.77 (0.87),8325/69745 (11.94%),983 (35.25%),1.70 (0.77),3.35 (0.75),1306/19209 (6.80%),960 (34.42%),4.39 (1.00),4.29 (0.91),5484/33522 (16.36%),846 (30.33%),4.83 (0.40),3.66 (0.63),1535/17014 (9.02%)
yelp,Rct1Y (2020-08-01),15926,13964,6426,5097,5097 (100.00%),3.50 (1.59),3.67 (0.91),14582/141203 (10.33%),1974 (38.73%),1.86 (1.02),3.38 (0.88),4885/51259 (9.53%),1095 (21.48%),4.06 (1.05),4.10 (1.04),5492/41111 (13.36%),2028 (39.79%),4.79 (0.55),3.73 (0.76),4205/48833 (8.61%)
zocdoc,Rct1Y (2020-08-01),28055,8684,3190,2442,2442 (100.00%),4.78 (0.53),4.73 (0.22),20088/94668 (21.22%),162 (6.63%),3.25 (0.97),4.58 (0.30),651/5099 (12.77%),2163 (88.57%),4.88 (0.24),4.77 (0.18),19024/86124 (22.09%),117 (4.79%),4.98 (0.06),4.29 (0.20),413/3445 (11.99%)
all,Rct1Y (2020-08-01),125030,125030,76788,75549,75549 (100.00%),3.92 (1.50),3.95 (0.70),402698/2529474 (15.92%),21208 (28.07%),1.80 (0.97),3.67 (0.67),45982/559171 (8.22%),24077 (31.87%),4.54 (0.75),4.39 (0.64),236683/1143786 (20.69%),30264 (40.06%),4.91 (0.32),3.80 (0.59),120033/826517 (14.52%)
all(zocdoc),Rct1Y (2020-08-01),125030,125030,77783,76597,76597 (100.00%),3.95 (1.48),3.97 (0.69),427431/2707547 (15.79%),20868 (27.24%),1.82 (0.98),3.70 (0.67),45923/572631 (8.02%),25113 (32.79%),4.55 (0.73),4.40 (0.62),251982/1240152 (20.32%),30616 (39.97%),4.91 (0.31),3.81 (0.59),129526/894764 (14.48%)
