Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),118763,112484,59898,41052,41052 (100.00%),4.08 (1.43),4.06 (0.75),243835/1060458 (22.99%),9521 (23.19%),1.81 (1.02),3.66 (0.75),18182/160250 (11.35%),17027 (41.48%),4.66 (0.67),4.52 (0.60),182097/682497 (26.68%),14504 (35.33%),4.90 (0.34),3.77 (0.59),43556/217711 (20.01%)
vitals,Rct1Y (2020-08-01),126388,125801,26791,26401,26401 (100.00%),3.64 (1.78),4.04 (0.65),86018/1121157 (7.67%),9334 (35.35%),1.35 (0.76),3.70 (0.64),12366/342914 (3.61%),6756 (25.59%),4.77 (0.59),4.59 (0.52),52183/395919 (13.18%),10311 (39.06%),4.97 (0.17),3.98 (0.49),21469/382324 (5.62%)
ratemds,Rct1Y (2020-08-01),28044,22492,3565,2584,2584 (100.00%),3.58 (1.59),3.78 (0.87),8014/68093 (11.77%),909 (35.18%),1.72 (0.77),3.36 (0.75),1222/18689 (6.54%),898 (34.75%),4.38 (1.01),4.29 (0.92),5349/32929 (16.24%),777 (30.07%),4.83 (0.40),3.68 (0.62),1443/16475 (8.76%)
yelp,Rct1Y (2020-08-01),14481,12445,5793,4637,4637 (100.00%),3.50 (1.58),3.67 (0.90),13768/136065 (10.12%),1799 (38.80%),1.88 (1.03),3.39 (0.87),4582/49381 (9.28%),991 (21.37%),4.04 (1.03),4.07 (1.03),5257/39909 (13.17%),1847 (39.83%),4.79 (0.55),3.72 (0.75),3929/46775 (8.40%)
zocdoc,Rct1Y (2020-08-01),28286,9159,3487,2713,2713 (100.00%),4.77 (0.54),4.73 (0.23),29477/137978 (21.36%),181 (6.67%),3.21 (1.04),4.54 (0.31),764/7101 (10.76%),2409 (88.79%),4.87 (0.23),4.77 (0.18),28196/126567 (22.28%),123 (4.53%),4.96 (0.13),4.26 (0.27),517/4310 (12.00%)
all,Rct1Y (2020-08-01),130472,130472,72954,72679,72679 (100.00%),3.92 (1.51),3.99 (0.66),400224/3863598 (10.36%),20621 (28.37%),1.79 (0.97),3.71 (0.64),44332/957987 (4.63%),23068 (31.74%),4.56 (0.71),4.41 (0.60),239050/1560306 (15.32%),28990 (39.89%),4.92 (0.29),3.85 (0.55),116842/1345305 (8.69%)
