Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct2Y (2019-08-01),118763,112484,83769,45510,45510 (100.00%),4.07 (1.29),4.02 (0.76),426554/1136569 (37.53%),9851 (21.65%),2.10 (1.04),3.66 (0.74),27509/142909 (19.25%),21407 (47.04%),4.48 (0.76),4.38 (0.68),336704/788915 (42.68%),14252 (31.32%),4.81 (0.45),3.72 (0.61),62341/204745 (30.45%)
vitals,Rct2Y (2019-08-01),126388,125801,63083,61904,61904 (100.00%),3.63 (1.67),4.00 (0.63),253077/2289436 (11.05%),22914 (37.02%),1.66 (0.91),3.74 (0.60),48555/779387 (6.23%),15627 (25.24%),4.55 (0.74),4.40 (0.63),146531/734156 (19.96%),23363 (37.74%),4.94 (0.26),3.98 (0.49),57991/775893 (7.47%)
ratemds,Rct2Y (2019-08-01),28044,22492,5848,4015,4015 (100.00%),3.60 (1.54),3.75 (0.86),15092/95414 (15.82%),1365 (34.00%),1.79 (0.81),3.37 (0.74),2142/25174 (8.51%),1368 (34.07%),4.30 (1.02),4.22 (0.92),10511/46826 (22.45%),1282 (31.93%),4.78 (0.47),3.64 (0.65),2439/23414 (10.42%)
yelp,Rct2Y (2019-08-01),14481,12445,8326,5840,5840 (100.00%),3.52 (1.40),3.65 (0.89),28316/158852 (17.83%),2024 (34.66%),2.15 (1.06),3.46 (0.84),7289/48242 (15.11%),1835 (31.42%),3.83 (1.00),3.86 (1.00),14850/67069 (22.14%),1981 (33.92%),4.65 (0.67),3.63 (0.79),6177/43541 (14.19%)
zocdoc,Rct2Y (2019-08-01),28286,9159,4600,3391,3391 (100.00%),4.76 (0.51),4.73 (0.23),46183/168068 (27.48%),210 (6.19%),3.27 (0.94),4.55 (0.31),912/7298 (12.50%),3066 (90.42%),4.85 (0.24),4.76 (0.20),44661/156442 (28.55%),115 (3.39%),4.94 (0.16),4.24 (0.24),610/4328 (14.09%)
all,Rct2Y (2019-08-01),130472,130472,104044,103028,103028 (100.00%),3.88 (1.37),3.97 (0.65),870275/5010830 (17.37%),29658 (28.79%),2.10 (0.98),3.74 (0.62),105730/1236560 (8.55%),38545 (37.41%),4.38 (0.77),4.26 (0.65),547843/2282590 (24.00%),34825 (33.80%),4.86 (0.37),3.84 (0.56),216702/1491680 (14.53%)
all(zocdoc),Rct2Y (2019-08-01),130472,130472,104624,103656,103656 (100.00%),3.92 (1.35),3.99 (0.65),930583/5277887 (17.63%),28954 (27.93%),2.12 (0.98),3.76 (0.62),104633/1237574 (8.45%),39731 (38.33%),4.40 (0.75),4.28 (0.63),587191/2458626 (23.88%),34971 (33.74%),4.85 (0.37),3.85 (0.56),238759/1581687 (15.10%)
