Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct2Y (2019-08-01),719717,333990,196538,151104,151104 (100.00%),4.00 (1.45),3.96 (0.81),695191/1692468 (41.08%),36528 (24.17%),1.84 (1.01),3.55 (0.75),73934/263659 (28.04%),59289 (39.24%),4.50 (0.86),4.41 (0.80),484028/1036823 (46.68%),55287 (36.59%),4.88 (0.39),3.75 (0.61),137229/391986 (35.01%)
vitals,Rct2Y (2019-08-01),720293,497593,131675,124036,124036 (100.00%),3.61 (1.72),3.91 (0.78),352547/2798990 (12.60%),44111 (35.56%),1.52 (0.85),3.56 (0.70),79265/958558 (8.27%),33440 (26.96%),4.53 (0.93),4.42 (0.86),183930/869247 (21.16%),46485 (37.48%),4.94 (0.29),3.89 (0.55),89352/971185 (9.20%)
ratemds,Rct2Y (2019-08-01),152678,50377,8458,7335,7335 (100.00%),3.58 (1.57),3.69 (0.96),21083/111546 (18.90%),2363 (32.22%),1.77 (0.80),3.29 (0.75),3311/29637 (11.17%),2726 (37.16%),4.19 (1.20),4.13 (1.13),14169/54029 (26.22%),2246 (30.62%),4.76 (0.53),3.58 (0.68),3603/27880 (12.92%)
yelp,Rct2Y (2019-08-01),30902,19532,11196,9952,9952 (100.00%),3.49 (1.53),3.59 (1.02),35915/180771 (19.87%),3349 (33.65%),1.96 (1.05),3.33 (0.85),9442/55179 (17.11%),3280 (32.96%),3.85 (1.27),3.87 (1.27),18206/74622 (24.40%),3323 (33.39%),4.68 (0.66),3.56 (0.79),8267/50970 (16.22%)
zocdoc,Rct2Y (2019-08-01),160694,22042,11597,8294,8294 (100.00%),4.79 (0.49),4.76 (0.23),105058/327021 (32.13%),435 (5.24%),3.22 (1.02),4.54 (0.32),1840/13023 (14.13%),7605 (91.69%),4.87 (0.23),4.79 (0.19),102082/306467 (33.31%),254 (3.06%),4.96 (0.13),4.27 (0.23),1136/7531 (15.08%)
all,Rct2Y (2019-08-01),887354,587562,266008,241502,241502 (100.00%),3.86 (1.50),3.84 (0.87),1162486/6303374 (18.44%),68107 (28.20%),1.85 (0.98),3.59 (0.76),175591/1607251 (10.92%),80992 (33.54%),4.41 (0.93),4.30 (0.84),666791/2690333 (24.78%),92403 (38.26%),4.85 (0.47),3.61 (0.81),320104/2005790 (15.96%)
all(zocdoc),Rct2Y (2019-08-01),887354,589250,270147,245262,245262 (100.00%),3.89 (1.49),3.85 (0.87),1290659/6793553 (19.00%),66895 (27.27%),1.86 (0.98),3.60 (0.76),174306/1623079 (10.74%),84105 (34.29%),4.43 (0.91),4.32 (0.82),737391/2968681 (24.84%),94262 (38.43%),4.85 (0.46),3.61 (0.81),378962/2201793 (17.21%)
