Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),50376,49495,33784,29497,29497 (100.00%),4.16 (1.35),4.13 (0.74),224366/958769 (23.40%),6223 (21.10%),1.90 (1.05),3.72 (0.77),13224/131892 (10.03%),14054 (47.65%),4.68 (0.63),4.55 (0.57),175782/654574 (26.85%),9220 (31.26%),4.88 (0.36),3.77 (0.60),35360/172303 (20.52%)
vitals,Rct1Y (2020-08-01),48791,47405,14903,13603,13603 (100.00%),3.82 (1.70),4.08 (0.67),61552/418007 (14.73%),4160 (30.58%),1.39 (0.80),3.67 (0.66),5851/92700 (6.31%),4350 (31.98%),4.78 (0.54),4.62 (0.48),42175/208602 (20.22%),5093 (37.44%),4.96 (0.20),3.96 (0.50),13526/116705 (11.59%)
ratemds,Rct1Y (2020-08-01),14274,12768,2799,2307,2307 (100.00%),3.59 (1.58),3.78 (0.88),7688/65392 (11.76%),799 (34.63%),1.72 (0.78),3.36 (0.76),1096/17593 (6.23%),818 (35.46%),4.38 (1.00),4.29 (0.91),5246/32170 (16.31%),690 (29.91%),4.82 (0.41),3.67 (0.63),1346/15629 (8.61%)
yelp,Rct1Y (2020-08-01),9551,8821,4829,4144,4144 (100.00%),3.50 (1.56),3.68 (0.90),13036/131185 (9.94%),1617 (39.02%),1.93 (1.04),3.42 (0.87),4320/47581 (9.08%),910 (21.96%),4.03 (1.01),4.07 (1.01),5083/39088 (13.00%),1617 (39.02%),4.78 (0.56),3.72 (0.76),3633/44516 (8.16%)
zocdoc,Rct1Y (2020-08-01),12841,4678,1773,1398,1398 (100.00%),4.77 (0.53),4.71 (0.23),11571/54912 (21.07%),93 (6.65%),3.24 (0.94),4.55 (0.32),381/2930 (13.00%),1227 (87.77%),4.87 (0.24),4.76 (0.18),10887/49437 (22.02%),78 (5.58%),4.98 (0.07),4.27 (0.21),303/2545 (11.91%)
all,Rct1Y (2020-08-01),52866,52866,39759,39379,39379 (100.00%),4.02 (1.40),4.02 (0.70),331254/2031786 (16.30%),9865 (25.05%),1.94 (1.00),3.71 (0.68),26028/402871 (6.46%),15285 (38.82%),4.56 (0.70),4.42 (0.60),214146/1022289 (20.95%),14229 (36.13%),4.88 (0.34),3.80 (0.59),91080/606626 (15.01%)
all(zocdoc),Rct1Y (2020-08-01),52866,52866,40130,39762,39762 (100.00%),4.05 (1.37),4.04 (0.68),345319/2139368 (16.14%),9678 (24.34%),1.96 (1.01),3.74 (0.67),26039/408782 (6.37%),15759 (39.63%),4.57 (0.68),4.43 (0.58),223686/1087007 (20.58%),14325 (36.03%),4.88 (0.34),3.81 (0.58),95594/643579 (14.85%)
