Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),719717,333990,246960,44972,44972 (100.00%),4.04 (1.19),3.97 (0.77),523939/1042386 (50.26%),8945 (19.89%),2.29 (1.02),3.66 (0.73),33332/117041 (28.48%),23014 (51.17%),4.35 (0.81),4.26 (0.74),417584/745680 (56.00%),13013 (28.94%),4.71 (0.52),3.67 (0.63),73023/179665 (40.64%)
vitals,Rct3Y (2018-08-01),720293,367451,193775,65614,65614 (100.00%),3.62 (1.53),3.95 (0.63),280999/1056406 (26.60%),24918 (37.98%),1.95 (0.98),3.75 (0.61),67793/343394 (19.74%),18357 (27.98%),4.34 (0.81),4.24 (0.68),153190/426044 (35.96%),22339 (34.05%),4.90 (0.34),3.94 (0.52),60016/286968 (20.91%)
ratemds,Rct3Y (2018-08-01),152678,49363,12623,6106,6106 (100.00%),3.56 (1.50),3.71 (0.83),25043/122679 (20.41%),2089 (34.21%),1.86 (0.82),3.38 (0.72),3750/33632 (11.15%),2025 (33.16%),4.16 (1.05),4.09 (0.95),17043/56455 (30.19%),1992 (32.62%),4.75 (0.49),3.66 (0.64),4250/32592 (13.04%)
yelp,Rct3Y (2018-08-01),30902,19532,14144,6886,6886 (100.00%),3.57 (1.27),3.64 (0.89),48340/172361 (28.05%),2003 (29.09%),2.29 (1.03),3.46 (0.83),9316/41954 (22.21%),2904 (42.17%),3.78 (0.96),3.81 (0.96),31292/93499 (33.47%),1979 (28.74%),4.57 (0.71),3.59 (0.81),7732/36908 (20.95%)
zocdoc,Rct3Y (2018-08-01),160694,20427,12328,6369,6369 (100.00%),4.77 (0.49),4.74 (0.23),83282/227077 (36.68%),356 (5.59%),3.26 (0.96),4.51 (0.35),1706/9416 (18.12%),5805 (91.14%),4.85 (0.24),4.77 (0.19),80591/212221 (37.98%),208 (3.27%),4.95 (0.14),4.26 (0.24),985/5440 (18.11%)
all,Rct3Y (2018-08-01),887354,493255,334563,138682,138682 (100.00%),3.85 (1.28),3.92 (0.69),1242734/3323618 (37.39%),38904 (28.05%),2.25 (0.96),3.71 (0.65),171078/688816 (24.84%),57115 (41.18%),4.24 (0.81),4.16 (0.69),789068/1808743 (43.63%),42663 (30.76%),4.80 (0.44),3.78 (0.62),282588/826059 (34.21%)
all(zocdoc),Rct3Y (2018-08-01),887354,495527,337591,143478,143478 (100.00%),3.89 (1.26),3.94 (0.68),1363060/3664059 (37.20%),38881 (27.10%),2.27 (0.97),3.73 (0.64),173301/714349 (24.26%),60344 (42.06%),4.28 (0.79),4.19 (0.68),867843/2015411 (43.06%),44253 (30.84%),4.80 (0.43),3.77 (0.62),321916/934299 (34.46%)
