Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),118763,112484,59898,58153,58153 (100.00%),4.05 (1.47),4.02 (0.75),288430/1150688 (25.07%),14009 (24.09%),1.73 (0.98),3.63 (0.74),24596/178733 (13.76%),22082 (37.97%),4.66 (0.69),4.52 (0.61),207305/721003 (28.75%),22062 (37.94%),4.92 (0.31),3.78 (0.58),56529/250952 (22.53%)
vitals,Rct1Y (2020-08-01),126388,125801,26791,26692,26692 (100.00%),3.65 (1.78),4.04 (0.65),87628/1123533 (7.80%),9395 (35.20%),1.35 (0.76),3.70 (0.64),12451/343170 (3.63%),6935 (25.98%),4.77 (0.59),4.60 (0.52),53631/397813 (13.48%),10362 (38.82%),4.97 (0.17),3.97 (0.49),21546/382550 (5.63%)
ratemds,Rct1Y (2020-08-01),28044,22492,3565,3432,3432 (100.00%),3.56 (1.60),3.73 (0.93),9493/71729 (13.23%),1167 (34.00%),1.71 (0.77),3.30 (0.75),1505/19654 (7.66%),1250 (36.42%),4.29 (1.14),4.21 (1.05),6251/34643 (18.04%),1015 (29.57%),4.80 (0.48),3.63 (0.66),1737/17432 (9.96%)
yelp,Rct1Y (2020-08-01),14481,12445,5793,5623,5623 (100.00%),3.46 (1.63),3.61 (0.98),15112/139810 (10.81%),2137 (38.00%),1.81 (1.01),3.33 (0.88),5016/50667 (9.90%),1332 (23.69%),3.95 (1.26),3.98 (1.26),5792/41181 (14.06%),2154 (38.31%),4.79 (0.56),3.67 (0.76),4304/47962 (8.97%)
zocdoc,Rct1Y (2020-08-01),28286,9159,3487,3006,3006 (100.00%),4.77 (0.53),4.74 (0.23),32019/141189 (22.68%),197 (6.55%),3.23 (1.03),4.55 (0.31),817/7187 (11.37%),2680 (89.16%),4.88 (0.22),4.78 (0.18),30664/129662 (23.65%),129 (4.29%),4.96 (0.13),4.26 (0.27),538/4340 (12.40%)
all,Rct1Y (2020-08-01),130472,130472,72954,72858,72858 (100.00%),3.92 (1.51),3.99 (0.66),406254/3870103 (10.50%),20621 (28.30%),1.79 (0.97),3.71 (0.64),44332/957987 (4.63%),23192 (31.83%),4.56 (0.71),4.41 (0.60),243645/1565227 (15.57%),29045 (39.87%),4.92 (0.29),3.85 (0.55),118277/1346889 (8.78%)
