Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),118763,112484,97069,36914,36914 (100.00%),4.07 (1.15),3.99 (0.76),498239/963387 (51.72%),6954 (18.84%),2.33 (1.01),3.66 (0.73),27882/98263 (28.37%),19843 (53.75%),4.36 (0.79),4.28 (0.72),405080/712050 (56.89%),10117 (27.41%),4.69 (0.53),3.67 (0.63),65277/153074 (42.64%)
vitals,Rct3Y (2018-08-01),126388,125801,95977,93458,93458 (100.00%),3.70 (1.46),4.02 (0.60),475385/3193788 (14.88%),34189 (36.58%),2.08 (0.98),3.80 (0.58),105745/1097227 (9.64%),29092 (31.13%),4.37 (0.77),4.27 (0.64),278456/1185754 (23.48%),30177 (32.29%),4.90 (0.32),4.01 (0.48),91184/910807 (10.01%)
ratemds,Rct3Y (2018-08-01),28044,22492,8552,5500,5500 (100.00%),3.57 (1.49),3.71 (0.83),24121/118023 (20.44%),1863 (33.87%),1.87 (0.82),3.38 (0.72),3456/31919 (10.83%),1859 (33.80%),4.16 (1.04),4.09 (0.95),16712/55123 (30.32%),1778 (32.33%),4.75 (0.49),3.65 (0.64),3953/30981 (12.76%)
yelp,Rct3Y (2018-08-01),14481,12445,10076,6004,6004 (100.00%),3.57 (1.24),3.64 (0.88),46045/163289 (28.20%),1704 (28.38%),2.34 (1.02),3.48 (0.82),8595/38936 (22.07%),2646 (44.07%),3.76 (0.94),3.79 (0.94),30382/90685 (33.50%),1654 (27.55%),4.53 (0.72),3.57 (0.81),7068/33668 (20.99%)
zocdoc,Rct3Y (2018-08-01),28286,9159,5437,3693,3693 (100.00%),4.76 (0.45),4.72 (0.24),67119/181197 (37.04%),166 (4.49%),3.28 (0.95),4.49 (0.37),843/5446 (15.48%),3416 (92.50%),4.83 (0.25),4.74 (0.21),65610/172291 (38.08%),111 (3.01%),4.92 (0.19),4.23 (0.28),666/3460 (19.25%)
all,Rct3Y (2018-08-01),130472,130472,119874,117459,117459 (100.00%),3.89 (1.20),3.97 (0.65),1375012/5464198 (25.16%),32003 (27.25%),2.39 (0.92),3.76 (0.61),173571/1250886 (13.88%),53594 (45.63%),4.25 (0.76),4.17 (0.65),914973/2898128 (31.57%),31862 (27.13%),4.78 (0.43),3.83 (0.57),286468/1315184 (21.78%)
all(zocdoc),Rct3Y (2018-08-01),130472,130472,120108,117783,117783 (100.00%),3.92 (1.18),3.98 (0.64),1467750/5730186 (25.61%),31220 (26.51%),2.41 (0.92),3.78 (0.60),171707/1246349 (13.78%),54597 (46.35%),4.28 (0.75),4.19 (0.64),976863/3079153 (31.73%),31966 (27.14%),4.77 (0.43),3.82 (0.58),319180/1404684 (22.72%)
