Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct2Y (2019-08-01),213129,189001,126969,114841,114841 (100.00%),4.01 (1.41),3.97 (0.77),638357/1555637 (41.04%),27603 (24.04%),1.91 (1.02),3.60 (0.74),60367/229175 (26.34%),45864 (39.94%),4.49 (0.81),4.39 (0.73),460638/986296 (46.70%),41374 (36.03%),4.87 (0.39),3.77 (0.60),117352/340166 (34.50%)
vitals,Rct2Y (2019-08-01),231569,230079,93800,93139,93139 (100.00%),3.62 (1.70),3.97 (0.67),311709/2649270 (11.77%),34090 (36.60%),1.58 (0.88),3.67 (0.64),66133/908149 (7.28%),23517 (25.25%),4.56 (0.79),4.42 (0.69),169998/825061 (20.60%),35532 (38.15%),4.94 (0.27),3.95 (0.51),75578/916060 (8.25%)
ratemds,Rct2Y (2019-08-01),47881,33461,7104,6570,6570 (100.00%),3.59 (1.56),3.70 (0.94),20137/108825 (18.50%),2147 (32.68%),1.77 (0.80),3.30 (0.74),3066/28864 (10.62%),2373 (36.12%),4.21 (1.16),4.15 (1.08),13693/52834 (25.92%),2050 (31.20%),4.76 (0.53),3.59 (0.68),3378/27127 (12.45%)
yelp,Rct2Y (2019-08-01),20243,16234,10059,9288,9288 (100.00%),3.48 (1.52),3.58 (1.01),34918/178031 (19.61%),3135 (33.75%),1.98 (1.05),3.34 (0.86),9137/54266 (16.84%),3041 (32.74%),3.81 (1.26),3.83 (1.26),17806/73721 (24.15%),3112 (33.51%),4.67 (0.67),3.57 (0.79),7975/50044 (15.94%)
zocdoc,Rct2Y (2019-08-01),49781,13687,6746,5448,5448 (100.00%),4.77 (0.51),4.75 (0.23),70984/238042 (29.82%),313 (5.75%),3.22 (1.02),4.55 (0.31),1306/9850 (13.26%),4965 (91.13%),4.86 (0.23),4.78 (0.19),68868/222590 (30.94%),170 (3.12%),4.95 (0.14),4.25 (0.24),810/5602 (14.46%)
all,Rct2Y (2019-08-01),240531,240531,165101,164395,164395 (100.00%),3.87 (1.43),3.95 (0.70),1042307/5896872 (17.68%),47958 (29.17%),1.99 (0.98),3.70 (0.66),144693/1496205 (9.67%),57508 (34.98%),4.41 (0.80),4.29 (0.68),626645/2566834 (24.41%),58929 (35.85%),4.87 (0.37),3.81 (0.61),270969/1833833 (14.78%)
all(zocdoc),Rct2Y (2019-08-01),240531,240531,166346,165660,165660 (100.00%),3.90 (1.41),3.96 (0.69),1125682/6262414 (17.98%),46965 (28.35%),2.01 (0.99),3.72 (0.66),143322/1505072 (9.52%),59380 (35.84%),4.43 (0.78),4.31 (0.67),678711/2792448 (24.31%),59315 (35.81%),4.87 (0.37),3.81 (0.61),303649/1964894 (15.45%)
