Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),719717,333990,127626,105358,105358 (100.00%),4.01 (1.53),3.99 (0.81),361691/1382635 (26.16%),25875 (24.56%),1.63 (0.94),3.54 (0.76),40703/235965 (17.25%),38240 (36.30%),4.64 (0.80),4.53 (0.74),237689/803532 (29.58%),41243 (39.15%),4.93 (0.31),3.77 (0.59),83299/343138 (24.28%)
vitals,Rct1Y (2020-08-01),720293,497593,49661,46812,46812 (100.00%),3.55 (1.82),3.92 (0.79),111632/1286615 (8.68%),17061 (36.45%),1.29 (0.69),3.54 (0.71),21139/407832 (5.18%),11927 (25.48%),4.67 (0.88),4.53 (0.82),60492/432991 (13.97%),17824 (38.08%),4.97 (0.22),3.88 (0.56),30001/445792 (6.73%)
ratemds,Rct1Y (2020-08-01),152678,50377,5005,4492,4492 (100.00%),3.54 (1.61),3.70 (0.96),10821/76984 (14.06%),1527 (33.99%),1.68 (0.76),3.27 (0.75),1909/21452 (8.90%),1650 (36.73%),4.27 (1.18),4.20 (1.11),6828/36544 (18.68%),1315 (29.27%),4.78 (0.51),3.58 (0.67),2084/18988 (10.98%)
yelp,Rct1Y (2020-08-01),30902,19532,7451,6960,6960 (100.00%),3.45 (1.66),3.62 (1.01),17110/148648 (11.51%),2635 (37.86%),1.76 (1.00),3.30 (0.88),5741/53960 (10.64%),1725 (24.78%),4.00 (1.31),4.03 (1.31),6459/43506 (14.85%),2600 (37.36%),4.80 (0.56),3.66 (0.76),4910/51182 (9.59%)
zocdoc,Rct1Y (2020-08-01),160694,22042,8863,6937,6937 (100.00%),4.80 (0.50),4.77 (0.22),71875/273349 (26.29%),377 (5.43%),3.19 (1.05),4.56 (0.32),1490/12212 (12.20%),6315 (91.03%),4.89 (0.21),4.80 (0.17),69422/254105 (27.32%),245 (3.53%),4.97 (0.11),4.27 (0.25),963/7032 (13.69%)
all,Rct1Y (2020-08-01),887354,587562,159334,147235,147235 (100.00%),3.88 (1.59),3.87 (0.85),521421/4564686 (11.42%),41307 (28.06%),1.63 (0.91),3.57 (0.75),73580/1160029 (6.34%),44162 (29.99%),4.56 (0.88),4.42 (0.79),281923/1755685 (16.06%),61766 (41.95%),4.91 (0.39),3.67 (0.76),165918/1648972 (10.06%)
all(zocdoc),Rct1Y (2020-08-01),887354,589250,164313,151967,151967 (100.00%),3.93 (1.56),3.88 (0.85),604165/5021755 (12.03%),40737 (26.81%),1.64 (0.93),3.59 (0.75),73486/1185402 (6.20%),47002 (30.93%),4.58 (0.85),4.43 (0.77),321103/1979799 (16.22%),64228 (42.26%),4.91 (0.38),3.66 (0.76),209576/1856554 (11.29%)
