Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),719717,333990,127626,52318,52318 (100.00%),4.06 (1.46),4.03 (0.75),264367/1163976 (22.71%),12472 (23.84%),1.77 (1.00),3.64 (0.75),22713/186541 (12.18%),20640 (39.45%),4.65 (0.70),4.52 (0.62),190706/718393 (26.55%),19206 (36.71%),4.91 (0.33),3.77 (0.59),50948/259042 (19.67%)
vitals,Rct1Y (2020-08-01),720293,367451,45156,23882,23882 (100.00%),3.61 (1.80),3.98 (0.70),74399/511430 (14.55%),8559 (35.84%),1.32 (0.73),3.62 (0.67),11064/132611 (8.34%),5963 (24.97%),4.74 (0.67),4.57 (0.59),44711/223571 (20.00%),9360 (39.19%),4.97 (0.19),3.93 (0.52),18624/155248 (12.00%)
ratemds,Rct1Y (2020-08-01),152678,49363,5005,2869,2869 (100.00%),3.57 (1.60),3.76 (0.88),8423/70321 (11.98%),1013 (35.31%),1.70 (0.77),3.35 (0.75),1343/19422 (6.91%),984 (34.30%),4.38 (1.01),4.28 (0.93),5513/33695 (16.36%),872 (30.39%),4.82 (0.41),3.66 (0.63),1567/17204 (9.11%)
yelp,Rct1Y (2020-08-01),30902,19532,7451,5233,5233 (100.00%),3.50 (1.60),3.67 (0.92),14764/142193 (10.38%),2026 (38.72%),1.85 (1.02),3.38 (0.88),4951/51639 (9.59%),1122 (21.44%),4.07 (1.05),4.10 (1.05),5536/41311 (13.40%),2085 (39.84%),4.79 (0.55),3.72 (0.76),4277/49243 (8.69%)
zocdoc,Rct1Y (2020-08-01),160694,20427,7740,5007,5007 (100.00%),4.79 (0.52),4.76 (0.21),41300/177119 (23.32%),318 (6.35%),3.21 (1.00),4.58 (0.31),1265/9089 (13.92%),4495 (89.77%),4.89 (0.22),4.79 (0.16),39396/162547 (24.24%),194 (3.87%),4.99 (0.05),4.30 (0.20),639/5483 (11.65%)
all,Rct1Y (2020-08-01),887354,493255,156438,99181,99181 (100.00%),3.89 (1.55),3.93 (0.72),433315/2707277 (16.01%),28437 (28.67%),1.72 (0.94),3.66 (0.68),55575/613912 (9.05%),29548 (29.79%),4.56 (0.77),4.40 (0.66),244245/1184891 (20.61%),41196 (41.54%),4.92 (0.30),3.79 (0.61),133495/908474 (14.69%)
all(zocdoc),Rct1Y (2020-08-01),887354,495527,160744,103610,103610 (100.00%),3.94 (1.52),3.96 (0.71),483592/3003454 (16.10%),28362 (27.37%),1.74 (0.96),3.68 (0.68),56178/638598 (8.80%),32060 (30.94%),4.58 (0.74),4.42 (0.63),270320/1330080 (20.32%),43188 (41.68%),4.92 (0.30),3.79 (0.62),157094/1034776 (15.18%)
