Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct2Y (2019-08-01),213129,189001,126969,53997,53997 (100.00%),4.05 (1.31),4.00 (0.76),449404/1222385 (36.76%),11981 (22.19%),2.08 (1.04),3.65 (0.74),32265/163808 (19.70%),24604 (45.57%),4.47 (0.78),4.37 (0.70),347659/823754 (42.20%),17412 (32.25%),4.82 (0.44),3.72 (0.61),69480/234823 (29.59%)
vitals,Rct2Y (2019-08-01),231569,230079,93800,89990,89990 (100.00%),3.61 (1.70),3.97 (0.66),296485/2625077 (11.29%),33339 (37.05%),1.58 (0.88),3.68 (0.64),64638/904365 (7.15%),21903 (24.34%),4.56 (0.77),4.42 (0.66),157960/808745 (19.53%),34748 (38.61%),4.94 (0.26),3.95 (0.50),73887/911967 (8.10%)
ratemds,Rct2Y (2019-08-01),47881,33461,7104,4414,4414 (100.00%),3.60 (1.54),3.74 (0.86),15681/99228 (15.80%),1509 (34.19%),1.78 (0.81),3.37 (0.74),2317/26523 (8.74%),1476 (33.44%),4.30 (1.02),4.22 (0.92),10728/47912 (22.39%),1429 (32.37%),4.78 (0.47),3.64 (0.65),2636/24793 (10.63%)
yelp,Rct2Y (2019-08-01),20243,16234,10059,6579,6579 (100.00%),3.53 (1.42),3.65 (0.90),29868/166605 (17.93%),2281 (34.67%),2.12 (1.06),3.45 (0.85),7792/50843 (15.33%),2015 (30.63%),3.85 (1.02),3.88 (1.02),15363/69042 (22.25%),2283 (34.70%),4.66 (0.66),3.64 (0.80),6713/46720 (14.37%)
zocdoc,Rct2Y (2019-08-01),49781,13687,6746,4801,4801 (100.00%),4.77 (0.50),4.74 (0.22),63533/229154 (27.73%),280 (5.83%),3.24 (0.98),4.56 (0.29),1221/9697 (12.59%),4368 (90.98%),4.86 (0.23),4.77 (0.19),61561/213951 (28.77%),153 (3.19%),4.95 (0.14),4.25 (0.25),751/5506 (13.64%)
all,Rct2Y (2019-08-01),240531,240531,165101,162276,162276 (100.00%),3.86 (1.44),3.94 (0.69),1000519/5849373 (17.10%),47875 (29.50%),1.99 (0.98),3.70 (0.66),144011/1495231 (9.63%),56041 (34.53%),4.40 (0.80),4.28 (0.68),594242/2530566 (23.48%),58360 (35.96%),4.88 (0.37),3.82 (0.60),262266/1823576 (14.38%)
all(zocdoc),Rct2Y (2019-08-01),240531,240531,166346,163611,163611 (100.00%),3.89 (1.42),3.96 (0.69),1084871/6216062 (17.45%),46885 (28.66%),2.00 (0.99),3.72 (0.65),142653/1504122 (9.48%),57963 (35.43%),4.43 (0.78),4.30 (0.67),647077/2757067 (23.47%),58763 (35.92%),4.87 (0.36),3.82 (0.60),295141/1954873 (15.10%)
