Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),213129,189001,152782,127982,127982 (100.00%),4.00 (1.31),3.95 (0.77),904033/1598688 (56.55%),29011 (22.67%),2.10 (1.03),3.60 (0.73),80644/206578 (39.04%),56414 (44.08%),4.37 (0.84),4.29 (0.76),672607/1072216 (62.73%),42557 (33.25%),4.81 (0.46),3.75 (0.61),150782/319894 (47.13%)
vitals,Rct3Y (2018-08-01),231569,230079,152355,150772,150772 (100.00%),3.71 (1.52),3.99 (0.65),612069/3859882 (15.86%),53305 (35.35%),1.95 (0.98),3.74 (0.62),143081/1317493 (10.86%),46623 (30.92%),4.40 (0.81),4.30 (0.70),343319/1393618 (24.64%),50844 (33.72%),4.91 (0.32),3.98 (0.50),125669/1148771 (10.94%)
ratemds,Rct3Y (2018-08-01),47881,33461,10541,9519,9519 (100.00%),3.57 (1.52),3.67 (0.92),32967/139477 (23.64%),3077 (32.32%),1.84 (0.81),3.31 (0.73),4969/37639 (13.20%),3519 (36.97%),4.11 (1.17),4.06 (1.10),22561/65430 (34.48%),2923 (30.71%),4.74 (0.53),3.60 (0.66),5437/36408 (14.93%)
yelp,Rct3Y (2018-08-01),20243,16234,12463,10819,10819 (100.00%),3.50 (1.40),3.56 (1.01),58548/191003 (30.65%),3153 (29.14%),2.13 (1.05),3.34 (0.83),11563/46734 (24.74%),4600 (42.52%),3.73 (1.19),3.76 (1.19),37179/102901 (36.13%),3066 (28.34%),4.55 (0.75),3.49 (0.81),9806/41368 (23.70%)
zocdoc,Rct3Y (2018-08-01),49781,13687,8041,5975,5975 (100.00%),4.78 (0.45),4.74 (0.24),102615/260287 (39.42%),261 (4.37%),3.26 (0.99),4.50 (0.35),1259/7654 (16.45%),5535 (92.64%),4.84 (0.24),4.76 (0.20),100333/247592 (40.52%),179 (3.00%),4.93 (0.18),4.23 (0.27),1023/5041 (20.29%)
all,Rct3Y (2018-08-01),240531,240531,202343,200518,200518 (100.00%),3.88 (1.29),3.95 (0.70),1700846/6681424 (25.46%),56113 (27.98%),2.25 (0.97),3.73 (0.65),242261/1591138 (15.23%),83998 (41.89%),4.29 (0.80),4.20 (0.69),1088727/3371596 (32.29%),60407 (30.13%),4.81 (0.44),3.79 (0.64),369858/1718690 (21.52%)
all(zocdoc),Rct3Y (2018-08-01),240531,240531,202972,201184,201184 (100.00%),3.90 (1.27),3.96 (0.69),1827730/7048981 (25.93%),54880 (27.28%),2.27 (0.97),3.75 (0.64),239648/1591046 (15.06%),85646 (42.57%),4.31 (0.79),4.22 (0.68),1169801/3609923 (32.41%),60658 (30.15%),4.80 (0.44),3.79 (0.64),418281/1848012 (22.63%)
