Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),719717,333990,127626,105358,105358 (100.00%),4.01 (1.53),3.99 (0.81),361691/1382635 (26.16%),25875 (24.56%),1.63 (0.94),3.54 (0.76),40703/235965 (17.25%),38240 (36.30%),4.64 (0.80),4.53 (0.74),237689/803532 (29.58%),41243 (39.15%),4.93 (0.31),3.77 (0.59),83299/343138 (24.28%)
vitals,Rct1Y (2020-08-01),720293,367451,45156,39061,39061 (100.00%),3.55 (1.83),3.92 (0.77),96320/568646 (16.94%),14304 (36.62%),1.29 (0.68),3.55 (0.71),17629/152755 (11.54%),9542 (24.43%),4.69 (0.84),4.54 (0.78),52641/239255 (22.00%),15215 (38.95%),4.97 (0.21),3.88 (0.56),26050/176636 (14.75%)
ratemds,Rct1Y (2020-08-01),152678,49363,5005,4480,4480 (100.00%),3.54 (1.61),3.70 (0.96),10809/76425 (14.14%),1523 (34.00%),1.68 (0.76),3.27 (0.75),1905/21210 (8.98%),1645 (36.72%),4.27 (1.18),4.20 (1.11),6823/36413 (18.74%),1312 (29.29%),4.78 (0.51),3.59 (0.67),2081/18802 (11.07%)
yelp,Rct1Y (2020-08-01),30902,19532,7451,6960,6960 (100.00%),3.45 (1.66),3.62 (1.01),17110/148648 (11.51%),2635 (37.86%),1.76 (1.00),3.30 (0.88),5741/53960 (10.64%),1725 (24.78%),4.00 (1.31),4.03 (1.31),6459/43506 (14.85%),2600 (37.36%),4.80 (0.56),3.66 (0.76),4910/51182 (9.59%)
zocdoc,Rct1Y (2020-08-01),160694,20427,7740,6075,6075 (100.00%),4.79 (0.53),4.77 (0.21),47544/185789 (25.59%),386 (6.35%),3.19 (1.02),4.58 (0.32),1428/9410 (15.18%),5459 (89.86%),4.90 (0.21),4.80 (0.16),45400/170730 (26.59%),230 (3.79%),4.99 (0.05),4.30 (0.19),716/5649 (12.67%)
all,Rct1Y (2020-08-01),887354,493255,156438,139746,139746 (100.00%),3.89 (1.58),3.87 (0.83),504583/2875175 (17.55%),39002 (27.91%),1.64 (0.92),3.59 (0.74),69969/654295 (10.69%),41552 (29.73%),4.56 (0.87),4.41 (0.78),272962/1241549 (21.99%),59192 (42.36%),4.91 (0.38),3.68 (0.75),161652/979331 (16.51%)
all(zocdoc),Rct1Y (2020-08-01),887354,495527,160744,143857,143857 (100.00%),3.93 (1.56),3.89 (0.83),558217/3173835 (17.59%),38616 (26.84%),1.66 (0.93),3.61 (0.74),70210/677826 (10.36%),44057 (30.63%),4.58 (0.84),4.43 (0.75),299997/1387744 (21.62%),61184 (42.53%),4.91 (0.37),3.68 (0.75),188010/1108265 (16.96%)
