Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),117307,113409,64501,63016,63016 (100.00%),4.05 (1.47),4.02 (0.76),305440/1217633 (25.08%),15129 (24.01%),1.74 (0.98),3.61 (0.75),26977/193481 (13.94%),24214 (38.43%),4.64 (0.71),4.51 (0.64),217226/749869 (28.97%),23673 (37.57%),4.91 (0.32),3.77 (0.59),61237/274283 (22.33%)
vitals,Rct1Y (2020-08-01),116091,112558,25374,24856,24856 (100.00%),3.64 (1.78),4.00 (0.69),80247/511874 (15.68%),8675 (34.90%),1.34 (0.74),3.64 (0.67),11364/129908 (8.75%),6538 (26.30%),4.74 (0.66),4.58 (0.59),48973/227902 (21.49%),9643 (38.80%),4.97 (0.19),3.94 (0.51),19910/154064 (12.92%)
ratemds,Rct1Y (2020-08-01),29159,24283,3904,3756,3756 (100.00%),3.56 (1.60),3.72 (0.93),9977/73870 (13.51%),1281 (34.11%),1.69 (0.76),3.29 (0.75),1634/20327 (8.04%),1355 (36.08%),4.29 (1.13),4.22 (1.05),6467/35439 (18.25%),1120 (29.82%),4.80 (0.47),3.62 (0.66),1876/18104 (10.36%)
yelp,Rct1Y (2020-08-01),15926,13964,6426,6238,6238 (100.00%),3.45 (1.64),3.62 (0.99),16182/145616 (11.11%),2377 (38.11%),1.79 (1.01),3.32 (0.88),5412/52822 (10.25%),1489 (23.87%),3.96 (1.28),3.99 (1.28),6131/42613 (14.39%),2372 (38.03%),4.79 (0.56),3.68 (0.76),4639/50181 (9.24%)
zocdoc,Rct1Y (2020-08-01),28055,8684,3190,2765,2765 (100.00%),4.77 (0.54),4.74 (0.22),21763/97087 (22.42%),195 (7.05%),3.24 (0.99),4.58 (0.29),735/5266 (13.96%),2442 (88.32%),4.88 (0.23),4.77 (0.18),20588/88324 (23.31%),128 (4.63%),4.98 (0.06),4.29 (0.20),440/3497 (12.58%)
all,Rct1Y (2020-08-01),125030,125030,76788,76508,76508 (100.00%),3.93 (1.50),3.96 (0.70),418682/2548108 (16.43%),21218 (27.73%),1.80 (0.97),3.67 (0.67),46063/559286 (8.24%),24710 (32.30%),4.54 (0.75),4.40 (0.64),248225/1157039 (21.45%),30580 (39.97%),4.91 (0.32),3.79 (0.60),124394/831783 (14.96%)
all(zocdoc),Rct1Y (2020-08-01),125030,125030,77783,77511,77511 (100.00%),3.96 (1.48),3.98 (0.69),442875/2725514 (16.25%),20878 (26.94%),1.82 (0.98),3.70 (0.67),46004/572746 (8.03%),25721 (33.18%),4.56 (0.73),4.41 (0.62),263230/1253043 (21.01%),30912 (39.88%),4.91 (0.32),3.80 (0.59),133641/899725 (14.85%)
