Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),719717,333990,127626,52318,52318 (100.00%),4.06 (1.46),4.03 (0.75),264367/1163976 (22.71%),12472 (23.84%),1.77 (1.00),3.64 (0.75),22713/186541 (12.18%),20640 (39.45%),4.65 (0.70),4.52 (0.62),190706/718393 (26.55%),19206 (36.71%),4.91 (0.33),3.77 (0.59),50948/259042 (19.67%)
vitals,Rct1Y (2020-08-01),720293,497593,49661,39209,39209 (100.00%),3.56 (1.82),3.96 (0.71),101080/1257058 (8.04%),14558 (37.13%),1.31 (0.71),3.61 (0.68),18312/398420 (4.60%),9211 (23.49%),4.75 (0.67),4.58 (0.59),55535/421889 (13.16%),15440 (39.38%),4.97 (0.19),3.92 (0.53),27233/436749 (6.24%)
ratemds,Rct1Y (2020-08-01),152678,50377,5005,2886,2886 (100.00%),3.56 (1.60),3.76 (0.88),8442/70875 (11.91%),1022 (35.41%),1.70 (0.77),3.35 (0.75),1354/19678 (6.88%),987 (34.20%),4.37 (1.02),4.28 (0.93),5516/33815 (16.31%),877 (30.39%),4.83 (0.41),3.65 (0.63),1572/17382 (9.04%)
yelp,Rct1Y (2020-08-01),30902,19532,7451,5233,5233 (100.00%),3.50 (1.60),3.67 (0.92),14764/142193 (10.38%),2026 (38.72%),1.85 (1.02),3.38 (0.88),4951/51639 (9.59%),1122 (21.44%),4.07 (1.05),4.10 (1.05),5536/41311 (13.40%),2085 (39.84%),4.79 (0.55),3.72 (0.76),4277/49243 (8.69%)
zocdoc,Rct1Y (2020-08-01),160694,22042,8863,5918,5918 (100.00%),4.79 (0.51),4.76 (0.22),62499/261593 (23.89%),333 (5.63%),3.16 (1.06),4.55 (0.32),1356/11982 (11.32%),5372 (90.77%),4.88 (0.22),4.79 (0.17),60296/242756 (24.84%),213 (3.60%),4.97 (0.11),4.27 (0.25),847/6855 (12.36%)
all,Rct1Y (2020-08-01),887354,587562,159334,122145,122145 (100.00%),3.88 (1.58),3.94 (0.73),477008/4460671 (10.69%),35493 (29.06%),1.66 (0.93),3.64 (0.70),65858/1137841 (5.79%),36153 (29.60%),4.59 (0.77),4.43 (0.66),263190/1718070 (15.32%),50499 (41.34%),4.93 (0.30),3.80 (0.62),147960/1604760 (9.22%)
all(zocdoc),Rct1Y (2020-08-01),887354,589250,164313,126938,126938 (100.00%),3.93 (1.55),3.95 (0.73),554434/4912560 (11.29%),35097 (27.65%),1.68 (0.94),3.66 (0.70),65946/1163830 (5.67%),39010 (30.73%),4.60 (0.74),4.44 (0.64),301009/1940830 (15.51%),52831 (41.62%),4.92 (0.29),3.79 (0.63),187479/1807900 (10.37%)
