Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct2Y (2019-08-01),118763,112484,83769,79162,79162 (100.00%),4.03 (1.36),3.99 (0.75),561976/1357641 (41.39%),18534 (23.41%),1.98 (1.03),3.63 (0.72),44321/181977 (24.36%),33283 (42.04%),4.49 (0.78),4.38 (0.70),425220/907275 (46.87%),27345 (34.54%),4.85 (0.41),3.76 (0.60),92435/268389 (34.44%)
vitals,Rct2Y (2019-08-01),126388,125801,63083,62777,62777 (100.00%),3.64 (1.66),4.00 (0.63),261935/2300637 (11.39%),23046 (36.71%),1.66 (0.91),3.74 (0.61),48786/779985 (6.25%),16222 (25.84%),4.55 (0.74),4.41 (0.63),154812/743973 (20.81%),23509 (37.45%),4.94 (0.26),3.98 (0.49),58337/776679 (7.51%)
ratemds,Rct2Y (2019-08-01),28044,22492,5848,5534,5534 (100.00%),3.60 (1.55),3.72 (0.92),18741/102819 (18.23%),1799 (32.51%),1.79 (0.81),3.33 (0.74),2651/26807 (9.89%),2025 (36.59%),4.22 (1.14),4.16 (1.05),13132/50930 (25.78%),1710 (30.90%),4.76 (0.52),3.61 (0.67),2958/25082 (11.79%)
yelp,Rct2Y (2019-08-01),14481,12445,8326,7793,7793 (100.00%),3.48 (1.49),3.58 (0.99),32004/167176 (19.14%),2645 (33.94%),2.03 (1.06),3.36 (0.86),8286/50742 (16.33%),2565 (32.91%),3.78 (1.22),3.81 (1.21),16607/70440 (23.58%),2583 (33.15%),4.65 (0.68),3.57 (0.79),7111/45994 (15.46%)
zocdoc,Rct2Y (2019-08-01),28286,9159,4600,3798,3798 (100.00%),4.76 (0.51),4.73 (0.23),51385/174176 (29.50%),231 (6.08%),3.25 (0.98),4.54 (0.32),966/7398 (13.06%),3442 (90.63%),4.86 (0.24),4.77 (0.19),49764/162379 (30.65%),125 (3.29%),4.94 (0.15),4.25 (0.23),655/4399 (14.89%)
all,Rct2Y (2019-08-01),130472,130472,104044,103736,103736 (100.00%),3.89 (1.36),3.97 (0.66),897856/5040202 (17.81%),29659 (28.59%),2.10 (0.98),3.74 (0.62),105746/1236580 (8.55%),39106 (37.70%),4.38 (0.77),4.27 (0.65),570916/2307080 (24.75%),34971 (33.71%),4.86 (0.37),3.84 (0.56),221194/1496542 (14.78%)
all(zocdoc),Rct2Y (2019-08-01),130472,130472,104624,104328,104328 (100.00%),3.92 (1.34),3.99 (0.65),957155/5306160 (18.04%),28955 (27.75%),2.12 (0.98),3.76 (0.62),104649/1237594 (8.46%),40265 (38.59%),4.40 (0.75),4.29 (0.63),609485/2482266 (24.55%),35108 (33.65%),4.85 (0.37),3.84 (0.56),243021/1586300 (15.32%)
