Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),213129,189001,86527,81528,81528 (100.00%),4.03 (1.51),4.01 (0.76),329510/1290699 (25.53%),20036 (24.58%),1.67 (0.96),3.59 (0.75),33160/212877 (15.58%),29661 (36.38%),4.65 (0.72),4.52 (0.65),225070/771519 (29.17%),31831 (39.04%),4.92 (0.31),3.78 (0.58),71280/306303 (23.27%)
vitals,Rct1Y (2020-08-01),231569,230079,37074,36846,36846 (100.00%),3.58 (1.81),3.99 (0.70),100402/1238715 (8.11%),13453 (36.51%),1.32 (0.72),3.63 (0.67),17172/389729 (4.41%),9059 (24.59%),4.75 (0.65),4.59 (0.58),57071/420819 (13.56%),14334 (38.90%),4.97 (0.19),3.94 (0.52),26159/428167 (6.11%)
ratemds,Rct1Y (2020-08-01),47881,33461,4264,4042,4042 (100.00%),3.55 (1.61),3.71 (0.94),10279/75362 (13.64%),1383 (34.22%),1.69 (0.76),3.29 (0.75),1743/20923 (8.33%),1452 (35.92%),4.28 (1.15),4.21 (1.07),6569/35856 (18.32%),1207 (29.86%),4.79 (0.49),3.59 (0.67),1967/18583 (10.58%)
yelp,Rct1Y (2020-08-01),20243,16234,6818,6551,6551 (100.00%),3.45 (1.65),3.61 (1.00),16558/146947 (11.27%),2488 (37.98%),1.77 (1.00),3.31 (0.88),5547/53324 (10.40%),1578 (24.09%),3.97 (1.30),4.00 (1.30),6239/42936 (14.53%),2485 (37.93%),4.80 (0.56),3.67 (0.76),4772/50687 (9.41%)
zocdoc,Rct1Y (2020-08-01),49781,13687,5111,4360,4360 (100.00%),4.79 (0.51),4.75 (0.22),44876/194602 (23.06%),264 (6.06%),3.23 (1.03),4.56 (0.31),1064/9124 (11.66%),3928 (90.09%),4.88 (0.22),4.79 (0.17),43118/180065 (23.95%),168 (3.85%),4.96 (0.12),4.26 (0.26),694/5413 (12.82%)
all,Rct1Y (2020-08-01),240531,240531,107056,106811,106811 (100.00%),3.90 (1.55),3.96 (0.70),467551/4352378 (10.74%),30730 (28.77%),1.71 (0.94),3.67 (0.67),59979/1101928 (5.44%),32309 (30.25%),4.58 (0.74),4.42 (0.63),265087/1694539 (15.64%),43772 (40.98%),4.93 (0.29),3.82 (0.58),142485/1555911 (9.16%)
all(zocdoc),Rct1Y (2020-08-01),240531,240531,109202,108963,108963 (100.00%),3.94 (1.53),3.98 (0.69),518090/4703637 (11.01%),30214 (27.73%),1.73 (0.95),3.70 (0.67),59769/1121168 (5.33%),34089 (31.28%),4.60 (0.72),4.43 (0.61),292578/1877531 (15.58%),44660 (40.99%),4.92 (0.28),3.83 (0.58),165743/1704938 (9.72%)
