Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),117307,113409,101377,92065,92065 (100.00%),4.01 (1.24),3.95 (0.76),839266/1462634 (57.38%),19711 (21.41%),2.22 (1.01),3.62 (0.73),64247/171624 (37.43%),44164 (47.97%),4.33 (0.82),4.25 (0.75),647068/1023228 (63.24%),28190 (30.62%),4.76 (0.50),3.71 (0.62),127951/267782 (47.78%)
vitals,Rct3Y (2018-08-01),116091,112558,85344,80968,80968 (100.00%),3.64 (1.50),3.96 (0.65),373311/1165232 (32.04%),30126 (37.21%),2.00 (0.98),3.74 (0.61),85281/366797 (23.25%),24820 (30.65%),4.33 (0.82),4.24 (0.71),213814/497787 (42.95%),26022 (32.14%),4.89 (0.35),3.95 (0.52),74216/300648 (24.69%)
ratemds,Rct3Y (2018-08-01),29159,24283,9337,8647,8647 (100.00%),3.57 (1.51),3.68 (0.91),31957/135281 (23.62%),2814 (32.54%),1.84 (0.81),3.32 (0.73),4666/36268 (12.87%),3179 (36.76%),4.12 (1.14),4.06 (1.06),22149/64021 (34.60%),2654 (30.69%),4.74 (0.53),3.61 (0.66),5142/34992 (14.69%)
yelp,Rct3Y (2018-08-01),15926,13964,11293,10040,10040 (100.00%),3.50 (1.38),3.56 (1.00),57305/187830 (30.51%),2911 (28.99%),2.17 (1.05),3.36 (0.84),11185/45705 (24.47%),4322 (43.05%),3.72 (1.16),3.75 (1.16),36708/101840 (36.04%),2807 (27.96%),4.54 (0.75),3.49 (0.81),9412/40285 (23.36%)
zocdoc,Rct3Y (2018-08-01),28055,8684,5092,3885,3885 (100.00%),4.75 (0.51),4.72 (0.24),50958/133016 (38.31%),221 (5.69%),3.23 (1.00),4.52 (0.34),993/5301 (18.73%),3534 (90.97%),4.84 (0.25),4.75 (0.20),49322/124692 (39.56%),130 (3.35%),4.95 (0.16),4.24 (0.26),643/3023 (21.27%)
all,Rct3Y (2018-08-01),125030,125030,117861,115467,115467 (100.00%),3.88 (1.18),3.93 (0.69),1373475/3288946 (41.76%),30048 (26.02%),2.38 (0.91),3.70 (0.63),163043/625565 (26.06%),54156 (46.90%),4.23 (0.79),4.15 (0.68),916879/1900778 (48.24%),31263 (27.08%),4.73 (0.48),3.75 (0.63),293553/762603 (38.49%)
all(zocdoc),Rct3Y (2018-08-01),125030,125030,117990,115659,115659 (100.00%),3.91 (1.17),3.94 (0.68),1436230/3473653 (41.35%),29493 (25.50%),2.41 (0.91),3.73 (0.63),162747/635113 (25.62%),54973 (47.53%),4.25 (0.77),4.17 (0.67),963580/2028016 (47.51%),31193 (26.97%),4.73 (0.48),3.75 (0.63),309903/810524 (38.23%)
