Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_profilescore,T_recentrvw/allrvw,D,D_recentscore,D_profilescore,D_recentrvw/allrvw,M,M_recentscore,M_profilescore,M_recentrvw/allrvw,I,I_recentscore,I_profilescore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),719717,333990,246960,168130,168130 (100.00%),3.99 (1.36),3.94 (0.81),977455/1748293 (55.91%),38735 (23.04%),2.02 (1.03),3.56 (0.75),97740/242982 (40.23%),72010 (42.83%),4.38 (0.89),4.31 (0.82),704828/1132193 (62.25%),57385 (34.13%),4.83 (0.45),3.74 (0.62),174887/373118 (46.87%)
vitals,Rct3Y (2018-08-01),720293,497593,225992,209710,209710 (100.00%),3.71 (1.58),3.94 (0.76),697681/4143315 (16.84%),70841 (33.78%),1.82 (0.97),3.62 (0.69),168128/1404533 (11.97%),67502 (32.19%),4.42 (0.92),4.34 (0.85),376318/1488414 (25.28%),71367 (34.03%),4.91 (0.34),3.90 (0.55),153235/1250368 (12.26%)
ratemds,Rct3Y (2018-08-01),152678,50377,12623,10628,10628 (100.00%),3.57 (1.53),3.67 (0.95),34342/143347 (23.96%),3385 (31.85%),1.83 (0.82),3.30 (0.74),5327/38772 (13.74%),4030 (37.92%),4.09 (1.21),4.04 (1.15),23251/67110 (34.65%),3213 (30.23%),4.74 (0.54),3.59 (0.67),5764/37465 (15.39%)
yelp,Rct3Y (2018-08-01),30902,19532,14144,11657,11657 (100.00%),3.50 (1.42),3.57 (1.02),59943/194456 (30.83%),3413 (29.28%),2.10 (1.05),3.33 (0.83),11978/47843 (25.04%),4919 (42.20%),3.76 (1.21),3.78 (1.21),37748/104120 (36.25%),3325 (28.52%),4.56 (0.75),3.49 (0.80),10217/42493 (24.04%)
zocdoc,Rct3Y (2018-08-01),160694,22042,13697,8758,8758 (100.00%),4.78 (0.45),4.74 (0.24),143288/349873 (40.95%),380 (4.34%),3.23 (0.99),4.48 (0.37),1744/10306 (16.92%),8110 (92.60%),4.85 (0.24),4.77 (0.20),140160/332657 (42.13%),268 (3.06%),4.94 (0.17),4.24 (0.27),1384/6910 (20.03%)
all,Rct3Y (2018-08-01),887354,587562,353574,310894,310894 (100.00%),3.87 (1.40),3.83 (0.88),1899194/7262792 (26.15%),84477 (27.17%),2.06 (1.00),3.61 (0.76),292322/1746247 (16.74%),119908 (38.57%),4.31 (0.93),4.23 (0.84),1161841/3563962 (32.60%),106509 (34.26%),4.80 (0.54),3.56 (0.86),445031/1952583 (22.79%)
all(zocdoc),Rct3Y (2018-08-01),887354,589250,356800,313668,313668 (100.00%),3.89 (1.39),3.84 (0.88),2083279/7757987 (26.85%),82906 (26.43%),2.07 (1.01),3.62 (0.76),289507/1751732 (16.53%),122802 (39.15%),4.33 (0.91),4.24 (0.82),1269179/3861697 (32.87%),107960 (34.42%),4.80 (0.53),3.55 (0.86),524593/2144558 (24.46%)
