platform,AllPhysicians,WebPhysicians,HasReviews,HasReviewsRct3Y,HasReviewsRct2Y,HasReviewsRct1Y
review_healthgrades,1141176,719717,333990,246960,196538,127626
review_vitals,1141176,720293,367451,193775,113743,45156
review_ratemds,1141176,152678,49363,12623,8458,5005
review_yelp,1141176,30902,19532,14144,11196,7451
review_zocdoc,1141176,167996,21298,12925,10754,8150
review_all,1141176,887354,493255,334563,254968,156438
review_all(zocdoc),1141176,894656,496398,338188,259182,161154
