platform,AllPhysicians,WebPhysicians,HasReviews,HasReviewsRct3Y,HasReviewsRct2Y,HasReviewsRct1Y
review_healthgrades,1141176,719717,333990,246960,196538,127626
review_vitals,1141176,720293,497593,225992,131675,49661
review_ratemds,1141176,152678,50377,12623,8458,5005
review_yelp,1141176,30902,19532,14144,11196,7451
review_zocdoc,1141176,167996,22986,14361,12175,9336
review_all,1141176,887354,587562,353574,266008,159334
review_all(zocdoc),1141176,894656,590194,357464,270725,164786
