path,total,total_google_urls,healthgrades,zocdoc,vitals,ratemds,yelp
MissingOutputKeywords_GoogleSearch_s190000_e200000.p,5021,100021,3917,1112,4020,955,327
MissingOutputKeywords_GoogleSearch_s200000_e210000.p,4549,90544,3566,1009,3652,830,279
MissingOutputKeywords_GoogleSearch_s20000_e30000.p,4748,94456,3696,1088,3734,779,262
MissingOutputKeywords_GoogleSearch_s210000_e220000.p,4732,94206,3726,1060,3797,918,283
MissingOutputKeywords_GoogleSearch_s220000_e240000.p,8520,169285,6673,1937,6698,1389,451
MissingOutputKeywords_GoogleSearch_s240000_e260000.p,8843,175603,6818,1947,6778,1294,429
MissingOutputKeywords_GoogleSearch_s260000_e280000.p,9587,190546,7517,2141,7639,1688,542
MissingOutputKeywords_GoogleSearch_s280000_e300000.p,9460,188325,7519,2169,7532,1789,532
MissingOutputKeywords_GoogleSearch_s300000_e320000.p,9060,180028,7023,2014,7029,1405,442
MissingOutputKeywords_GoogleSearch_s30000_e40000.p,4645,92309,3599,1013,3573,709,238
MissingOutputKeywords_GoogleSearch_s320000_e340000.p,8562,170147,6650,1840,6634,1313,443
MissingOutputKeywords_GoogleSearch_s340000_e360000.p,9494,188901,7429,2159,7526,1614,520
MissingOutputKeywords_GoogleSearch_s360000_e380000.p,9557,190068,7468,2115,7551,1701,525
MissingOutputKeywords_GoogleSearch_s380000_e400000.p,8813,174841,6813,1946,6820,1429,452
MissingOutputKeywords_GoogleSearch_s400000_e420000.p,8510,168860,6532,1826,6585,1325,462
MissingOutputKeywords_GoogleSearch_s40000_e50000.p,4518,89819,3474,964,3489,660,229
MissingOutputKeywords_GoogleSearch_s420000_e440000.p,9661,191975,7535,2091,7614,1575,526
MissingOutputKeywords_GoogleSearch_s440000_e460000.p,9580,190615,7594,2137,7673,1832,576
MissingOutputKeywords_GoogleSearch_s460000_e480000.p,8408,166935,6606,1822,6563,1456,469
MissingOutputKeywords_GoogleSearch_s480000_e500000.p,8607,171069,6784,1870,6804,1608,470
MissingOutputKeywords_GoogleSearch_s500000_e520000.p,8778,173817,6701,1958,6747,1193,446
MissingOutputKeywords_GoogleSearch_s50000_e60000.p,4256,84566,3316,969,3281,707,232
MissingOutputKeywords_GoogleSearch_s520000_e540000.p,9544,189854,7454,2222,7570,1649,532
MissingOutputKeywords_GoogleSearch_s540000_e560000.p,9605,191276,7610,2135,7672,1861,613
MissingOutputKeywords_GoogleSearch_s560000_e580000.p,9150,181672,7194,2028,7243,1599,495
MissingOutputKeywords_GoogleSearch_s580000_e600000.p,8673,171887,6730,1916,6671,1306,468
MissingOutputKeywords_GoogleSearch_s600000_e620000.p,9239,183321,7252,2073,7311,1537,514
MissingOutputKeywords_GoogleSearch_s60000_e70000.p,4078,80971,3137,871,3132,684,191
MissingOutputKeywords_GoogleSearch_s620000_e640000.p,9617,191340,7656,2196,7746,1731,540
MissingOutputKeywords_GoogleSearch_s640000_e660000.p,9202,182545,7091,1972,7080,1428,509
MissingOutputKeywords_GoogleSearch_s660000_e680000.p,8319,165250,6448,1846,6434,1364,459
MissingOutputKeywords_GoogleSearch_s680000_e690000.p,4602,91396,3550,1091,3604,707,223
MissingOutputKeywords_GoogleSearch_s690000_e700000.p,4887,97228,3860,1106,3909,793,273
MissingOutputKeywords_GoogleSearch_s700000_e720000.p,9520,189486,7597,2170,7617,1844,583
MissingOutputKeywords_GoogleSearch_s70000_e80000.p,4511,89650,3465,936,3506,672,220
MissingOutputKeywords_GoogleSearch_s720000_e740000.p,8673,171920,6766,1868,6753,1408,458
