Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),117307,113409,64501,46671,46671 (100.00%),4.07 (1.44),4.05 (0.92),256939/1123818 (22.86%),11376 (24.37%),1.93 (1.11),3.87 (0.90),23837/190978 (12.48%),19057 (40.83%),4.69 (0.71),4.62 (0.67),175219/704705 (24.86%),16238 (34.79%),4.85 (0.44),3.53 (0.80),57883/228135 (25.37%)
vitals,Rct1Y (2020-08-01),116091,112558,25374,21234,21234 (100.00%),3.64 (1.78),3.89 (0.95),71456/492934 (14.50%),7207 (33.94%),1.34 (0.78),3.58 (0.91),9727/122558 (7.94%),6632 (31.23%),4.71 (0.82),4.60 (0.76),41777/242455 (17.23%),7395 (34.83%),4.91 (0.36),3.55 (0.76),19952/127921 (15.60%)
ratemds,Rct1Y (2020-08-01),29159,24283,3904,2789,2789 (100.00%),3.57 (1.59),3.84 (0.87),8325/69745 (11.94%),1026 (36.79%),1.76 (0.82),3.60 (0.79),1435/20127 (7.13%),935 (33.52%),4.46 (0.95),4.37 (0.87),4927/33411 (14.75%),828 (29.69%),4.82 (0.40),3.55 (0.67),1963/16207 (12.11%)
yelp,Rct1Y (2020-08-01),15926,13964,6426,5097,5097 (100.00%),3.50 (1.59),3.70 (0.92),14582/141203 (10.33%),1925 (37.77%),1.86 (1.03),3.61 (0.88),4887/49796 (9.81%),1404 (27.55%),4.12 (1.10),4.07 (1.01),5973/50336 (11.87%),1768 (34.69%),4.79 (0.56),3.50 (0.78),3722/41071 (9.06%)
zocdoc,Rct1Y (2020-08-01),28055,8684,3190,2442,2442 (100.00%),4.78 (0.53),4.81 (0.26),20088/94668 (21.22%),224 (9.17%),3.53 (0.94),4.75 (0.29),1280/7266 (17.62%),2070 (84.77%),4.90 (0.22),4.85 (0.19),18117/82966 (21.84%),148 (6.06%),4.96 (0.10),4.22 (0.31),691/4436 (15.58%)
all,Rct1Y (2020-08-01),125030,125030,76788,75549,75549 (100.00%),3.92 (1.50),3.95 (0.84),402698/2529474 (15.92%),21318 (28.22%),1.87 (1.04),3.76 (0.82),49113/581523 (8.45%),26540 (35.13%),4.58 (0.79),4.47 (0.72),244576/1272052 (19.23%),27691 (36.65%),4.86 (0.42),3.59 (0.70),109009/675899 (16.13%)
all(zocdoc),Rct1Y (2020-08-01),125030,125030,77783,76597,76597 (100.00%),3.95 (1.48),3.98 (0.83),427431/2707547 (15.79%),21101 (27.55%),1.90 (1.05),3.80 (0.82),49971/603234 (8.28%),27768 (36.25%),4.60 (0.76),4.49 (0.70),263885/1394297 (18.93%),27728 (36.20%),4.86 (0.41),3.61 (0.70),113575/710016 (16.00%)
