Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),213129,189001,86527,81528,81528 (100.00%),4.03 (1.51),3.99 (1.10),329510/1290699 (25.53%),19961 (24.48%),1.83 (1.08),3.98 (0.95),36780/228049 (16.13%),33518 (41.11%),4.65 (0.90),4.61 (0.88),209351/773381 (27.07%),28049 (34.40%),4.84 (0.49),3.25 (0.98),83379/289269 (28.82%)
vitals,Rct1Y (2020-08-01),231569,230079,37074,36846,36846 (100.00%),3.58 (1.81),4.00 (0.70),100402/1238715 (8.11%),13527 (36.71%),1.33 (0.74),3.80 (0.70),17555/389640 (4.51%),8672 (23.54%),4.77 (0.64),4.58 (0.57),46643/413452 (11.28%),14647 (39.75%),4.96 (0.21),3.84 (0.58),36204/435623 (8.31%)
ratemds,Rct1Y (2020-08-01),47881,33461,4264,4042,4042 (100.00%),3.55 (1.61),3.78 (1.00),10279/75362 (13.64%),1465 (36.24%),1.75 (0.83),3.67 (0.86),1926/21906 (8.79%),1324 (32.76%),4.38 (1.08),4.32 (1.02),5637/34898 (16.15%),1253 (31.00%),4.76 (0.55),3.33 (0.86),2716/18558 (14.64%)
yelp,Rct1Y (2020-08-01),20243,16234,6818,6551,6551 (100.00%),3.45 (1.65),3.64 (1.08),16558/146947 (11.27%),2448 (37.37%),1.79 (1.02),3.66 (0.95),5602/51934 (10.79%),1867 (28.50%),4.04 (1.31),4.00 (1.25),6603/52011 (12.70%),2236 (34.13%),4.78 (0.59),3.31 (0.95),4353/43002 (10.12%)
zocdoc,Rct1Y (2020-08-01),49781,13687,5111,4360,4360 (100.00%),4.79 (0.51),4.82 (0.28),44876/194602 (23.06%),380 (8.72%),3.56 (0.99),4.78 (0.27),2111/12570 (16.79%),3745 (85.89%),4.90 (0.19),4.87 (0.18),41361/175538 (23.56%),235 (5.39%),4.94 (0.16),4.11 (0.56),1404/6494 (21.62%)
all,Rct1Y (2020-08-01),240531,240531,107056,106811,106811 (100.00%),3.90 (1.55),4.04 (0.67),467551/4352378 (10.74%),32216 (30.16%),1.78 (0.99),3.87 (0.67),66302/1170966 (5.66%),31333 (29.33%),4.64 (0.68),4.49 (0.59),256489/1725865 (14.86%),43262 (40.50%),4.93 (0.27),3.84 (0.56),144760/1455547 (9.95%)
all(zocdoc),Rct1Y (2020-08-01),240531,240531,109202,108963,108963 (100.00%),3.94 (1.53),4.06 (0.66),518090/4703637 (11.01%),31743 (29.13%),1.80 (1.00),3.89 (0.67),66706/1197069 (5.57%),33627 (30.86%),4.65 (0.65),4.50 (0.56),293850/1978786 (14.85%),43593 (40.01%),4.93 (0.26),3.85 (0.55),157534/1527782 (10.31%)
