Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),117307,113409,101377,41534,41534 (100.00%),4.05 (1.16),3.95 (0.99),517751/1017172 (50.90%),9500 (22.87%),2.64 (1.12),4.10 (0.85),44836/141189 (31.76%),18189 (43.79%),4.42 (0.84),4.39 (0.82),337359/629178 (53.62%),13845 (33.33%),4.54 (0.68),3.27 (0.90),135556/246805 (54.92%)
vitals,Rct3Y (2018-08-01),116091,112558,85344,57579,57579 (100.00%),3.62 (1.50),3.83 (0.93),269846/999532 (27.00%),20694 (35.94%),2.03 (1.06),3.88 (0.85),61793/309511 (19.96%),17763 (30.85%),4.29 (0.99),4.24 (0.94),124905/403784 (30.93%),19122 (33.21%),4.70 (0.61),3.40 (0.83),83148/286237 (29.05%)
ratemds,Rct3Y (2018-08-01),29159,24283,9337,5928,5928 (100.00%),3.57 (1.49),3.79 (0.84),24840/121446 (20.45%),2173 (36.66%),1.94 (0.87),3.67 (0.76),4211/35712 (11.79%),1812 (30.57%),4.26 (0.99),4.20 (0.91),14409/51690 (27.88%),1943 (32.78%),4.74 (0.49),3.53 (0.69),6220/34044 (18.27%)
yelp,Rct3Y (2018-08-01),15926,13964,11293,6693,6693 (100.00%),3.57 (1.26),3.66 (0.94),48028/170938 (28.10%),2199 (32.86%),2.45 (1.06),3.83 (0.83),12933/49666 (26.04%),2556 (38.19%),3.86 (0.99),3.86 (0.96),25680/83583 (30.72%),1938 (28.96%),4.45 (0.78),3.22 (0.88),9415/37689 (24.98%)
zocdoc,Rct3Y (2018-08-01),28055,8684,5092,3312,3312 (100.00%),4.75 (0.50),4.79 (0.28),45343/126030 (35.98%),280 (8.45%),3.59 (0.96),4.74 (0.31),2387/8449 (28.25%),2848 (85.99%),4.86 (0.23),4.83 (0.21),41318/112691 (36.66%),184 (5.56%),4.90 (0.20),4.17 (0.34),1638/4890 (33.50%)
all,Rct3Y (2018-08-01),125030,125030,117861,106200,106200 (100.00%),3.85 (1.20),3.87 (0.87),1184331/3074017 (38.53%),30418 (28.64%),2.56 (1.02),3.98 (0.78),175659/675590 (26.00%),42251 (39.78%),4.22 (0.88),4.18 (0.84),650870/1562189 (41.66%),33531 (31.57%),4.57 (0.64),3.39 (0.79),357802/836238 (42.79%)
all(zocdoc),Rct3Y (2018-08-01),125030,125030,117990,106769,106769 (100.00%),3.88 (1.18),3.90 (0.86),1254044/3266755 (38.39%),30089 (28.18%),2.59 (1.02),4.00 (0.77),179708/700354 (25.66%),43530 (40.77%),4.25 (0.86),4.21 (0.82),709144/1713033 (41.40%),33150 (31.05%),4.58 (0.63),3.41 (0.78),365192/853368 (42.79%)
