Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),118763,112484,59898,41052,41052 (100.00%),4.08 (1.43),4.07 (0.91),243835/1060458 (22.99%),9896 (24.11%),1.93 (1.11),3.87 (0.90),20979/174743 (12.01%),17147 (41.77%),4.70 (0.70),4.62 (0.66),169803/681662 (24.91%),14009 (34.13%),4.85 (0.45),3.53 (0.80),53053/204053 (26.00%)
vitals,Rct1Y (2020-08-01),126388,125801,26791,26401,26401 (100.00%),3.64 (1.78),4.04 (0.65),86018/1121157 (7.67%),9350 (35.42%),1.36 (0.77),3.81 (0.65),12533/342272 (3.66%),6617 (25.06%),4.77 (0.60),4.57 (0.52),42877/391209 (10.96%),10434 (39.52%),4.97 (0.18),3.90 (0.51),30608/387676 (7.90%)
ratemds,Rct1Y (2020-08-01),28044,22492,3565,2584,2584 (100.00%),3.58 (1.59),3.84 (0.87),8014/68093 (11.77%),944 (36.53%),1.76 (0.82),3.57 (0.79),1329/19487 (6.82%),870 (33.67%),4.45 (0.95),4.37 (0.87),4791/32548 (14.72%),770 (29.80%),4.82 (0.41),3.56 (0.66),1894/16058 (11.79%)
yelp,Rct1Y (2020-08-01),14481,12445,5793,4637,4637 (100.00%),3.50 (1.58),3.69 (0.91),13768/136065 (10.12%),1756 (37.87%),1.89 (1.04),3.61 (0.88),4592/47982 (9.57%),1270 (27.39%),4.10 (1.08),4.05 (0.99),5693/48765 (11.67%),1611 (34.74%),4.79 (0.55),3.49 (0.78),3483/39318 (8.86%)
zocdoc,Rct1Y (2020-08-01),28286,9159,3487,2713,2713 (100.00%),4.77 (0.54),4.80 (0.25),29477/137978 (21.36%),244 (8.99%),3.48 (1.01),4.73 (0.29),1302/9407 (13.84%),2322 (85.59%),4.89 (0.21),4.85 (0.18),27302/123761 (22.06%),147 (5.42%),4.94 (0.15),4.24 (0.31),873/4810 (18.15%)
all,Rct1Y (2020-08-01),130472,130472,72954,72679,72679 (100.00%),3.92 (1.51),4.07 (0.63),400224/3863598 (10.36%),21691 (29.84%),1.87 (1.01),3.88 (0.63),49154/1021282 (4.81%),22760 (31.32%),4.62 (0.66),4.47 (0.56),233775/1602601 (14.59%),28228 (38.84%),4.93 (0.26),3.89 (0.52),117295/1239715 (9.46%)
