Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),719717,333990,127626,52318,52318 (100.00%),4.06 (1.46),4.04 (0.92),264367/1163976 (22.71%),12930 (24.71%),1.89 (1.09),3.86 (0.90),25908/202132 (12.82%),20570 (39.32%),4.69 (0.73),4.61 (0.69),177331/715439 (24.79%),18818 (35.97%),4.86 (0.43),3.53 (0.80),61128/246405 (24.81%)
vitals,Rct1Y (2020-08-01),720293,497593,49661,39209,39209 (100.00%),3.56 (1.82),3.98 (0.71),101080/1257058 (8.04%),14618 (37.28%),1.31 (0.72),3.79 (0.71),18581/398214 (4.67%),8846 (22.56%),4.76 (0.65),4.57 (0.58),45791/414992 (11.03%),15745 (40.16%),4.97 (0.20),3.83 (0.58),36708/443852 (8.27%)
ratemds,Rct1Y (2020-08-01),152678,50377,5005,2886,2886 (100.00%),3.56 (1.60),3.82 (0.88),8442/70875 (11.91%),1061 (36.76%),1.75 (0.82),3.58 (0.80),1471/20510 (7.17%),957 (33.16%),4.44 (0.97),4.36 (0.89),4947/33430 (14.80%),868 (30.08%),4.82 (0.42),3.53 (0.67),2024/16935 (11.95%)
yelp,Rct1Y (2020-08-01),30902,19532,7451,5233,5233 (100.00%),3.50 (1.60),3.69 (0.92),14764/142193 (10.38%),1976 (37.76%),1.85 (1.03),3.61 (0.89),4951/50169 (9.87%),1434 (27.40%),4.13 (1.10),4.08 (1.01),6019/50554 (11.91%),1823 (34.84%),4.79 (0.55),3.49 (0.79),3794/41470 (9.15%)
zocdoc,Rct1Y (2020-08-01),160694,22042,8863,5918,5918 (100.00%),4.79 (0.51),4.83 (0.24),62499/261593 (23.89%),476 (8.04%),3.50 (1.03),4.75 (0.29),2734/16709 (16.36%),5172 (87.39%),4.90 (0.19),4.86 (0.18),57986/236864 (24.48%),270 (4.56%),4.94 (0.14),4.23 (0.30),1779/8020 (22.18%)
all,Rct1Y (2020-08-01),887354,587562,159334,122145,122145 (100.00%),3.88 (1.58),4.02 (0.70),477008/4460671 (10.69%),37177 (30.44%),1.73 (0.97),3.86 (0.70),72251/1208236 (5.98%),34754 (28.45%),4.65 (0.69),4.50 (0.61),255412/1747213 (14.62%),50214 (41.11%),4.94 (0.27),3.82 (0.59),149345/1505222 (9.92%)
all(zocdoc),Rct1Y (2020-08-01),887354,589250,164313,126938,126938 (100.00%),3.93 (1.55),4.06 (0.69),554434/4912560 (11.29%),36940 (29.10%),1.76 (0.99),3.88 (0.70),73748/1245352 (5.92%),39146 (30.84%),4.67 (0.66),4.52 (0.58),314758/2080303 (15.13%),50852 (40.06%),4.94 (0.26),3.83 (0.58),165928/1586905 (10.46%)
