Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),118763,112484,59898,58153,58153 (100.00%),4.05 (1.47),4.02 (1.04),288430/1150688 (25.07%),14158 (24.35%),1.88 (1.10),3.95 (0.93),27720/193170 (14.35%),24089 (41.42%),4.68 (0.82),4.62 (0.79),191427/720083 (26.58%),19906 (34.23%),4.84 (0.48),3.34 (0.93),69283/237435 (29.18%)
vitals,Rct1Y (2020-08-01),126388,125801,26791,26692,26692 (100.00%),3.65 (1.78),4.04 (0.65),87628/1123533 (7.80%),9417 (35.28%),1.36 (0.77),3.82 (0.65),12658/342585 (3.69%),6763 (25.34%),4.77 (0.60),4.58 (0.52),43808/392503 (11.16%),10512 (39.38%),4.97 (0.18),3.89 (0.52),31162/388445 (8.02%)
ratemds,Rct1Y (2020-08-01),28044,22492,3565,3432,3432 (100.00%),3.56 (1.60),3.79 (0.97),9493/71729 (13.23%),1236 (36.01%),1.77 (0.83),3.63 (0.84),1665/20577 (8.09%),1142 (33.28%),4.39 (1.07),4.33 (0.99),5354/33746 (15.87%),1054 (30.71%),4.77 (0.54),3.41 (0.81),2474/17406 (14.21%)
yelp,Rct1Y (2020-08-01),14481,12445,5793,5623,5623 (100.00%),3.46 (1.63),3.64 (1.04),15112/139810 (10.81%),2102 (37.38%),1.83 (1.03),3.65 (0.93),5066/49329 (10.27%),1590 (28.28%),4.02 (1.27),3.98 (1.21),6120/49885 (12.27%),1931 (34.34%),4.78 (0.59),3.33 (0.92),3926/40596 (9.67%)
zocdoc,Rct1Y (2020-08-01),28286,9159,3487,3006,3006 (100.00%),4.77 (0.53),4.81 (0.30),32019/141189 (22.68%),269 (8.95%),3.51 (1.00),4.75 (0.28),1440/9606 (14.99%),2560 (85.16%),4.89 (0.20),4.86 (0.18),29539/126534 (23.34%),177 (5.89%),4.93 (0.16),4.12 (0.60),1040/5049 (20.60%)
all,Rct1Y (2020-08-01),130472,130472,72954,72858,72858 (100.00%),3.92 (1.51),4.07 (0.63),406254/3870103 (10.50%),21693 (29.77%),1.87 (1.01),3.88 (0.63),49204/1021336 (4.82%),22866 (31.38%),4.62 (0.66),4.47 (0.56),237171/1606257 (14.77%),28299 (38.84%),4.93 (0.26),3.88 (0.52),119879/1242510 (9.65%)
