Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),719717,333990,127626,52318,52318 (100.00%),4.06 (1.46),4.04 (0.92),264367/1163976 (22.71%),12930 (24.71%),1.89 (1.09),3.86 (0.90),25908/202132 (12.82%),20570 (39.32%),4.69 (0.73),4.61 (0.69),177331/715439 (24.79%),18818 (35.97%),4.86 (0.43),3.53 (0.80),61128/246405 (24.81%)
vitals,Rct1Y (2020-08-01),720293,367451,45156,23882,23882 (100.00%),3.61 (1.80),3.87 (0.96),74399/511430 (14.55%),8274 (34.65%),1.32 (0.75),3.57 (0.92),10903/130042 (8.38%),7185 (30.09%),4.69 (0.86),4.59 (0.80),42426/246307 (17.22%),8423 (35.27%),4.92 (0.35),3.54 (0.77),21070/135081 (15.60%)
ratemds,Rct1Y (2020-08-01),152678,49363,5005,2869,2869 (100.00%),3.57 (1.60),3.84 (0.88),8423/70321 (11.98%),1056 (36.81%),1.76 (0.82),3.60 (0.80),1472/20340 (7.24%),960 (33.46%),4.45 (0.97),4.36 (0.88),4957/33592 (14.76%),853 (29.73%),4.82 (0.42),3.54 (0.67),1994/16389 (12.17%)
yelp,Rct1Y (2020-08-01),30902,19532,7451,5233,5233 (100.00%),3.50 (1.60),3.69 (0.92),14764/142193 (10.38%),1976 (37.76%),1.85 (1.03),3.61 (0.89),4951/50169 (9.87%),1434 (27.40%),4.13 (1.10),4.08 (1.01),6019/50554 (11.91%),1823 (34.84%),4.79 (0.55),3.49 (0.79),3794/41470 (9.15%)
zocdoc,Rct1Y (2020-08-01),160694,20427,7740,5007,5007 (100.00%),4.79 (0.52),4.82 (0.25),41300/177119 (23.32%),435 (8.69%),3.51 (0.99),4.75 (0.31),2415/13024 (18.54%),4316 (86.20%),4.91 (0.20),4.87 (0.18),37561/157068 (23.91%),256 (5.11%),4.96 (0.12),4.21 (0.29),1324/7027 (18.84%)
all,Rct1Y (2020-08-01),887354,493255,156438,99181,99181 (100.00%),3.89 (1.55),3.93 (0.87),433315/2707277 (16.01%),28424 (28.66%),1.77 (1.01),3.76 (0.85),58539/635385 (9.21%),32326 (32.59%),4.59 (0.82),4.50 (0.76),252435/1315075 (19.20%),38431 (38.75%),4.88 (0.40),3.58 (0.73),122341/756817 (16.17%)
all(zocdoc),Rct1Y (2020-08-01),887354,495527,160744,103610,103610 (100.00%),3.94 (1.52),3.98 (0.86),483592/3003454 (16.10%),28660 (27.66%),1.81 (1.04),3.80 (0.85),61188/674033 (9.08%),36090 (34.83%),4.63 (0.77),4.53 (0.71),292280/1526164 (19.15%),38860 (37.51%),4.88 (0.39),3.60 (0.72),130124/803257 (16.20%)
