Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),719717,333990,127626,105358,105358 (100.00%),4.01 (1.53),3.97 (1.18),361691/1382635 (26.16%),25467 (24.17%),1.79 (1.07),4.03 (0.96),44386/250773 (17.70%),44526 (42.26%),4.63 (0.98),4.60 (0.97),223933/810617 (27.63%),35365 (33.57%),4.83 (0.51),3.13 (1.06),93372/321245 (29.07%)
vitals,Rct1Y (2020-08-01),720293,367451,45156,39061,39061 (100.00%),3.55 (1.83),3.81 (1.18),96320/568646 (16.94%),13168 (33.71%),1.31 (0.74),3.74 (1.00),16715/147940 (11.30%),13059 (33.43%),4.48 (1.24),4.42 (1.21),51739/267573 (19.34%),12834 (32.86%),4.90 (0.42),3.24 (1.02),27866/153133 (18.20%)
ratemds,Rct1Y (2020-08-01),152678,49363,5005,4480,4480 (100.00%),3.54 (1.61),3.79 (1.03),10809/76425 (14.14%),1631 (36.41%),1.76 (0.84),3.71 (0.88),2129/22353 (9.52%),1500 (33.48%),4.39 (1.09),4.33 (1.03),5862/35669 (16.43%),1349 (30.11%),4.74 (0.59),3.28 (0.90),2818/18403 (15.31%)
yelp,Rct1Y (2020-08-01),30902,19532,7451,6960,6960 (100.00%),3.45 (1.66),3.65 (1.10),17110/148648 (11.51%),2593 (37.26%),1.77 (1.02),3.69 (0.96),5801/52565 (11.04%),2016 (28.97%),4.06 (1.32),4.02 (1.26),6815/52591 (12.96%),2351 (33.78%),4.78 (0.59),3.27 (0.97),4494/43492 (10.33%)
zocdoc,Rct1Y (2020-08-01),160694,20427,7740,6075,6075 (100.00%),4.79 (0.53),4.83 (0.30),47544/185789 (25.59%),537 (8.84%),3.52 (1.01),4.78 (0.33),2824/13671 (20.66%),5179 (85.25%),4.92 (0.19),4.89 (0.17),43007/164431 (26.16%),359 (5.91%),4.94 (0.20),4.06 (0.58),1713/7687 (22.28%)
all,Rct1Y (2020-08-01),887354,493255,156438,139746,139746 (100.00%),3.89 (1.58),3.92 (1.05),504583/2875175 (17.55%),38702 (27.69%),1.72 (1.00),3.86 (0.91),73690/676233 (10.90%),50203 (35.92%),4.58 (0.97),4.51 (0.94),285765/1386496 (20.61%),50841 (36.38%),4.87 (0.44),3.38 (0.92),145128/812446 (17.86%)
all(zocdoc),Rct1Y (2020-08-01),887354,495527,160744,143857,143857 (100.00%),3.93 (1.56),3.96 (1.03),558217/3173835 (17.59%),38691 (26.90%),1.76 (1.03),3.90 (0.91),76334/714205 (10.69%),54054 (37.57%),4.61 (0.93),4.54 (0.90),328441/1600677 (20.52%),51112 (35.53%),4.87 (0.43),3.40 (0.92),153442/858953 (17.86%)
