Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),719717,333990,246960,44972,44972 (100.00%),4.04 (1.19),3.94 (0.99),523939/1042386 (50.26%),10441 (23.22%),2.58 (1.13),4.08 (0.86),46567/148182 (31.43%),19161 (42.61%),4.42 (0.85),4.39 (0.84),339215/636331 (53.31%),15370 (34.18%),4.57 (0.68),3.29 (0.89),138157/257873 (53.58%)
vitals,Rct3Y (2018-08-01),720293,497593,225992,160518,160518 (100.00%),3.70 (1.55),4.02 (0.65),591030/3918787 (15.08%),59152 (36.85%),1.95 (1.00),3.98 (0.63),159408/1387887 (11.49%),41150 (25.64%),4.47 (0.77),4.35 (0.65),214536/1203605 (17.82%),60216 (37.51%),4.90 (0.33),3.83 (0.59),217086/1327295 (16.36%)
ratemds,Rct3Y (2018-08-01),152678,50377,12623,6156,6156 (100.00%),3.56 (1.50),3.77 (0.84),25125/124007 (20.26%),2247 (36.50%),1.92 (0.87),3.65 (0.77),4293/36521 (11.75%),1854 (30.12%),4.24 (1.01),4.18 (0.93),14364/51757 (27.75%),2055 (33.38%),4.74 (0.50),3.52 (0.69),6468/35729 (18.10%)
yelp,Rct3Y (2018-08-01),30902,19532,14144,6886,6886 (100.00%),3.57 (1.27),3.66 (0.94),48340/172361 (28.05%),2267 (32.92%),2.43 (1.07),3.82 (0.84),13046/50171 (26.00%),2605 (37.83%),3.87 (1.00),3.87 (0.97),25768/83947 (30.70%),2014 (29.25%),4.47 (0.77),3.23 (0.88),9526/38243 (24.91%)
zocdoc,Rct3Y (2018-08-01),160694,22042,13697,7399,7399 (100.00%),4.78 (0.46),4.80 (0.27),124757/328065 (38.03%),520 (7.03%),3.61 (0.93),4.72 (0.34),4314/16318 (26.44%),6507 (87.94%),4.86 (0.22),4.84 (0.20),116488/300923 (38.71%),372 (5.03%),4.89 (0.21),4.17 (0.34),3955/10824 (36.54%)
all,Rct3Y (2018-08-01),887354,587562,353574,229710,229710 (100.00%),3.86 (1.35),4.02 (0.68),1650315/6826904 (24.17%),74034 (32.23%),2.28 (1.02),4.00 (0.64),313631/1932108 (16.23%),75699 (32.95%),4.38 (0.76),4.29 (0.66),800138/2856487 (28.01%),79977 (34.82%),4.84 (0.40),3.78 (0.62),536546/2038309 (26.32%)
all(zocdoc),Rct3Y (2018-08-01),887354,589250,356800,233361,233361 (100.00%),3.90 (1.33),4.04 (0.67),1823413/7313151 (24.93%),73082 (31.32%),2.30 (1.03),4.02 (0.64),316126/1957008 (16.15%),80326 (34.42%),4.41 (0.73),4.32 (0.64),941005/3256177 (28.90%),79953 (34.26%),4.84 (0.39),3.79 (0.62),566282/2099966 (26.97%)
