Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),50376,49495,33784,33381,33381 (100.00%),4.14 (1.38),4.13 (0.94),247270/992603 (24.91%),7524 (22.54%),2.02 (1.15),3.95 (0.90),17584/150664 (11.67%),15768 (47.24%),4.71 (0.70),4.64 (0.67),176522/670684 (26.32%),10089 (30.22%),4.82 (0.48),3.46 (0.86),53164/171255 (31.04%)
vitals,Rct1Y (2020-08-01),48791,47405,14903,14691,14691 (100.00%),3.83 (1.69),4.00 (0.93),66479/425920 (15.61%),4311 (29.34%),1.42 (0.87),3.65 (0.92),6359/92928 (6.84%),5520 (37.57%),4.77 (0.69),4.67 (0.65),42096/230213 (18.29%),4860 (33.08%),4.91 (0.36),3.56 (0.76),18024/102779 (17.54%)
ratemds,Rct1Y (2020-08-01),14274,12768,2799,2732,2732 (100.00%),3.58 (1.60),3.84 (0.93),8676/67477 (12.86%),985 (36.05%),1.76 (0.83),3.61 (0.83),1387/19014 (7.29%),950 (34.77%),4.43 (1.01),4.36 (0.93),5129/32890 (15.59%),797 (29.17%),4.80 (0.47),3.49 (0.74),2160/15573 (13.87%)
yelp,Rct1Y (2020-08-01),9551,8821,4829,4730,4730 (100.00%),3.47 (1.60),3.65 (1.00),13878/133464 (10.40%),1776 (37.55%),1.89 (1.05),3.65 (0.90),4606/47010 (9.80%),1355 (28.65%),4.01 (1.23),3.97 (1.16),5769/48364 (11.93%),1599 (33.81%),4.76 (0.60),3.38 (0.88),3503/38090 (9.20%)
zocdoc,Rct1Y (2020-08-01),12841,4678,1773,1557,1557 (100.00%),4.76 (0.53),4.79 (0.34),12504/56201 (22.25%),156 (10.02%),3.57 (0.91),4.76 (0.28),894/4610 (19.39%),1292 (82.98%),4.89 (0.22),4.85 (0.20),11083/48374 (22.91%),109 (7.00%),4.92 (0.25),4.02 (0.66),527/3217 (16.38%)
all,Rct1Y (2020-08-01),52866,52866,39759,39651,39651 (100.00%),4.02 (1.39),4.06 (0.81),340311/2041564 (16.67%),10117 (25.52%),2.03 (1.08),3.82 (0.80),28970/427388 (6.78%),17063 (43.03%),4.61 (0.71),4.51 (0.66),227685/1145132 (19.88%),12471 (31.45%),4.83 (0.42),3.64 (0.68),83656/469044 (17.84%)
all(zocdoc),Rct1Y (2020-08-01),52866,52866,40130,40024,40024 (100.00%),4.05 (1.37),4.09 (0.80),354145/2148889 (16.48%),9968 (24.91%),2.06 (1.09),3.85 (0.80),29332/437163 (6.71%),17594 (43.96%),4.62 (0.69),4.52 (0.63),239244/1221459 (19.59%),12462 (31.14%),4.83 (0.42),3.65 (0.68),85569/490267 (17.45%)
