Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),719717,333990,127626,105358,105358 (100.00%),4.01 (1.53),3.97 (1.18),361691/1382635 (26.16%),25467 (24.17%),1.79 (1.07),4.03 (0.96),44386/250773 (17.70%),44526 (42.26%),4.63 (0.98),4.60 (0.97),223933/810617 (27.63%),35365 (33.57%),4.83 (0.51),3.13 (1.06),93372/321245 (29.07%)
vitals,Rct1Y (2020-08-01),720293,497593,49661,46812,46812 (100.00%),3.55 (1.82),3.94 (0.85),111632/1286615 (8.68%),17198 (36.74%),1.31 (0.71),3.82 (0.77),21644/408055 (5.30%),11256 (24.05%),4.69 (0.86),4.54 (0.81),49633/424172 (11.70%),18358 (39.22%),4.96 (0.24),3.69 (0.77),40355/454388 (8.88%)
ratemds,Rct1Y (2020-08-01),152678,50377,5005,4492,4492 (100.00%),3.54 (1.61),3.78 (1.03),10821/76984 (14.06%),1627 (36.22%),1.75 (0.83),3.70 (0.88),2116/22493 (9.41%),1487 (33.10%),4.38 (1.10),4.32 (1.04),5843/35480 (16.47%),1378 (30.68%),4.74 (0.59),3.28 (0.90),2862/19011 (15.05%)
yelp,Rct1Y (2020-08-01),30902,19532,7451,6960,6960 (100.00%),3.45 (1.66),3.65 (1.10),17110/148648 (11.51%),2593 (37.26%),1.77 (1.02),3.69 (0.96),5801/52565 (11.04%),2016 (28.97%),4.06 (1.32),4.02 (1.26),6815/52591 (12.96%),2351 (33.78%),4.78 (0.59),3.27 (0.97),4494/43492 (10.33%)
zocdoc,Rct1Y (2020-08-01),160694,22042,8863,6937,6937 (100.00%),4.80 (0.50),4.83 (0.29),71875/273349 (26.29%),560 (8.07%),3.56 (1.01),4.79 (0.28),3272/17441 (18.76%),6015 (86.71%),4.91 (0.19),4.88 (0.18),66153/246985 (26.78%),362 (5.22%),4.93 (0.17),4.09 (0.59),2450/8923 (27.46%)
all,Rct1Y (2020-08-01),887354,587562,159334,147235,147235 (100.00%),3.88 (1.59),4.01 (0.84),521421/4564686 (11.42%),43689 (29.67%),1.71 (0.97),3.90 (0.76),81798/1233994 (6.63%),45414 (30.84%),4.64 (0.81),4.53 (0.76),275599/1790068 (15.40%),58132 (39.48%),4.93 (0.31),3.68 (0.77),164024/1540624 (10.65%)
all(zocdoc),Rct1Y (2020-08-01),887354,589250,164313,151967,151967 (100.00%),3.93 (1.56),4.04 (0.83),604165/5021755 (12.03%),43296 (28.49%),1.73 (0.99),3.93 (0.75),83390/1270810 (6.56%),49934 (32.86%),4.66 (0.77),4.55 (0.72),338822/2127360 (15.93%),58737 (38.65%),4.93 (0.31),3.70 (0.76),181953/1623585 (11.21%)
