Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),719717,333990,246960,168130,168130 (100.00%),3.99 (1.36),3.88 (1.35),977455/1748293 (55.91%),42369 (25.20%),2.43 (1.19),4.38 (0.88),133134/301242 (44.20%),72382 (43.05%),4.49 (1.07),4.49 (1.07),544396/940682 (57.87%),53379 (31.75%),4.54 (0.77),2.64 (1.16),299925/506369 (59.23%)
vitals,Rct3Y (2018-08-01),720293,367451,193775,148731,148731 (100.00%),3.65 (1.60),3.83 (1.23),475564/1434075 (33.16%),49816 (33.49%),1.92 (1.08),4.09 (0.93),122050/445462 (27.40%),51907 (34.90%),4.37 (1.19),4.35 (1.18),204305/558724 (36.57%),47008 (31.61%),4.68 (0.69),2.99 (1.11),149209/429889 (34.71%)
ratemds,Rct3Y (2018-08-01),152678,49363,12623,10574,10574 (100.00%),3.56 (1.53),3.75 (1.04),34271/141977 (24.14%),3800 (35.94%),1.94 (0.91),3.79 (0.89),6652/42166 (15.78%),3324 (31.44%),4.26 (1.13),4.22 (1.07),18130/58762 (30.85%),3450 (32.63%),4.68 (0.64),3.25 (0.94),9489/41049 (23.12%)
yelp,Rct3Y (2018-08-01),30902,19532,14144,11657,11657 (100.00%),3.50 (1.42),3.59 (1.23),59943/194456 (30.83%),3951 (33.89%),2.30 (1.12),4.00 (0.93),17351/58280 (29.77%),4136 (35.48%),3.86 (1.27),3.86 (1.26),29378/90689 (32.39%),3570 (30.63%),4.42 (0.86),2.82 (1.12),13214/45487 (29.05%)
zocdoc,Rct3Y (2018-08-01),160694,20427,12328,7941,7941 (100.00%),4.77 (0.50),4.80 (0.34),97840/245348 (39.88%),689 (8.68%),3.60 (0.96),4.75 (0.36),5325/16354 (32.56%),6761 (85.14%),4.88 (0.22),4.87 (0.20),88611/218949 (40.47%),491 (6.18%),4.89 (0.21),4.00 (0.63),3904/10045 (38.87%)
all,Rct3Y (2018-08-01),887354,493255,334563,264811,264811 (100.00%),3.87 (1.39),3.88 (1.16),1675604/4039094 (41.48%),76168 (28.76%),2.31 (1.13),4.16 (0.88),294377/934488 (31.50%),103459 (39.07%),4.38 (1.05),4.36 (1.03),858623/1928890 (44.51%),85184 (32.17%),4.62 (0.69),3.05 (1.07),522604/1175716 (44.45%)
all(zocdoc),Rct3Y (2018-08-01),887354,495527,337591,267694,267694 (100.00%),3.89 (1.37),3.91 (1.15),1797237/4376517 (41.07%),75862 (28.34%),2.34 (1.13),4.18 (0.87),302598/982929 (30.79%),107322 (40.09%),4.41 (1.02),4.39 (1.01),959094/2189339 (43.81%),84510 (31.57%),4.63 (0.68),3.07 (1.07),535545/1204249 (44.47%)
