Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),118763,112484,97069,36914,36914 (100.00%),4.07 (1.15),3.96 (0.98),498239/963387 (51.72%),8232 (22.30%),2.64 (1.12),4.09 (0.85),39921/126673 (31.52%),16506 (44.71%),4.43 (0.82),4.41 (0.81),329636/608735 (54.15%),12176 (32.98%),4.55 (0.68),3.27 (0.89),128682/227979 (56.44%)
vitals,Rct3Y (2018-08-01),126388,125801,95977,93458,93458 (100.00%),3.70 (1.46),4.03 (0.59),475385/3193788 (14.88%),35264 (37.73%),2.11 (1.00),3.99 (0.57),115664/1127031 (10.26%),25710 (27.51%),4.39 (0.75),4.28 (0.62),186385/1036228 (17.99%),32484 (34.76%),4.89 (0.34),3.89 (0.54),173336/1030529 (16.82%)
ratemds,Rct3Y (2018-08-01),28044,22492,8552,5500,5500 (100.00%),3.57 (1.49),3.77 (0.84),24121/118023 (20.44%),1986 (36.11%),1.94 (0.86),3.65 (0.76),3934/34144 (11.52%),1695 (30.82%),4.24 (1.01),4.18 (0.92),14048/50246 (27.96%),1819 (33.07%),4.74 (0.50),3.52 (0.69),6139/33633 (18.25%)
yelp,Rct3Y (2018-08-01),14481,12445,10076,6004,6004 (100.00%),3.57 (1.24),3.66 (0.93),46045/163289 (28.20%),1954 (32.54%),2.49 (1.05),3.83 (0.82),12222/46960 (26.03%),2358 (39.27%),3.85 (0.98),3.84 (0.95),25008/81276 (30.77%),1692 (28.18%),4.43 (0.78),3.21 (0.88),8815/35053 (25.15%)
zocdoc,Rct3Y (2018-08-01),28286,9159,5437,3693,3693 (100.00%),4.76 (0.45),4.78 (0.27),67119/181197 (37.04%),269 (7.28%),3.63 (0.89),4.71 (0.35),2393/9016 (26.54%),3232 (87.52%),4.85 (0.23),4.82 (0.21),62676/166554 (37.63%),192 (5.20%),4.88 (0.21),4.18 (0.31),2050/5627 (36.43%)
all,Rct3Y (2018-08-01),130472,130472,119874,117459,117459 (100.00%),3.89 (1.20),4.04 (0.60),1375012/5464198 (25.16%),37041 (31.54%),2.51 (0.94),4.00 (0.57),219174/1477451 (14.83%),45129 (38.42%),4.30 (0.71),4.23 (0.61),716806/2479156 (28.91%),35289 (30.04%),4.80 (0.40),3.83 (0.56),439032/1507591 (29.12%)
all(zocdoc),Rct3Y (2018-08-01),130472,130472,120108,117783,117783 (100.00%),3.92 (1.18),4.06 (0.60),1467750/5730186 (25.61%),36099 (30.65%),2.52 (0.94),4.01 (0.57),217726/1474830 (14.76%),46541 (39.51%),4.33 (0.69),4.25 (0.59),795126/2711799 (29.32%),35143 (29.84%),4.80 (0.39),3.84 (0.55),454898/1543557 (29.47%)
