Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst5Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),213129,189001,86527,48984,48984 (100.00%),4.07 (1.45),4.05 (0.92),259806/1139634 (22.80%),12001 (24.50%),1.91 (1.10),3.86 (0.90),24612/195275 (12.60%),19690 (40.20%),4.69 (0.71),4.62 (0.68),176047/709071 (24.83%),17293 (35.30%),4.86 (0.44),3.53 (0.80),59147/235288 (25.14%)
vitals,Rct1Y (2020-08-01),231569,230079,37074,35851,35851 (100.00%),3.58 (1.81),4.00 (0.68),97445/1233017 (7.90%),13239 (36.93%),1.32 (0.73),3.79 (0.69),17093/388332 (4.40%),8275 (23.08%),4.77 (0.62),4.57 (0.55),45151/410975 (10.99%),14337 (39.99%),4.97 (0.20),3.85 (0.56),35201/433710 (8.12%)
ratemds,Rct1Y (2020-08-01),47881,33461,4264,2835,2835 (100.00%),3.57 (1.60),3.82 (0.88),8375/70492 (11.88%),1039 (36.65%),1.75 (0.82),3.57 (0.80),1443/20347 (7.09%),943 (33.26%),4.45 (0.96),4.36 (0.88),4928/33322 (14.79%),853 (30.09%),4.82 (0.41),3.54 (0.67),2004/16823 (11.91%)
yelp,Rct1Y (2020-08-01),20243,16234,6818,5165,5165 (100.00%),3.50 (1.60),3.69 (0.92),14671/141692 (10.35%),1952 (37.79%),1.86 (1.03),3.61 (0.89),4922/49991 (9.85%),1415 (27.40%),4.12 (1.10),4.07 (1.01),5985/50414 (11.87%),1798 (34.81%),4.79 (0.56),3.49 (0.79),3764/41287 (9.12%)
zocdoc,Rct1Y (2020-08-01),49781,13687,5111,3870,3870 (100.00%),4.78 (0.52),4.81 (0.24),40842/189422 (21.56%),335 (8.66%),3.52 (1.01),4.75 (0.28),1865/12220 (15.26%),3343 (86.38%),4.90 (0.20),4.85 (0.18),37814/171057 (22.11%),192 (4.96%),4.94 (0.15),4.22 (0.32),1163/6145 (18.93%)
all,Rct1Y (2020-08-01),240531,240531,107056,106194,106194 (100.00%),3.89 (1.55),4.04 (0.66),457135/4340284 (10.53%),32175 (30.30%),1.78 (0.99),3.87 (0.67),65910/1170456 (5.63%),30974 (29.17%),4.64 (0.68),4.48 (0.59),250497/1718972 (14.57%),43045 (40.53%),4.94 (0.27),3.85 (0.55),140728/1450856 (9.70%)
all(zocdoc),Rct1Y (2020-08-01),240531,240531,109202,108372,108372 (100.00%),3.93 (1.53),4.06 (0.66),508045/4691988 (10.83%),31706 (29.26%),1.80 (1.00),3.89 (0.66),66350/1196607 (5.54%),33277 (30.71%),4.65 (0.65),4.50 (0.56),287944/1972000 (14.60%),43389 (40.04%),4.93 (0.26),3.86 (0.55),153751/1523381 (10.09%)
