Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct1Y (2020-08-01),117307,113409,64501,63016,63016 (100.00%),4.05 (1.47),4.00 (1.03),305440/1217633 (25.08%),15434 (24.49%),1.89 (1.10),3.92 (0.93),30804/209520 (14.70%),25556 (40.55%),4.67 (0.82),4.61 (0.80),199020/744916 (26.72%),22026 (34.95%),4.83 (0.48),3.36 (0.92),75616/263197 (28.73%)
vitals,Rct1Y (2020-08-01),116091,112558,25374,24856,24856 (100.00%),3.64 (1.78),3.89 (1.00),80247/511874 (15.68%),8332 (33.52%),1.35 (0.79),3.64 (0.94),11277/127425 (8.85%),7980 (32.10%),4.68 (0.89),4.59 (0.85),45959/250013 (18.38%),8544 (34.37%),4.91 (0.38),3.48 (0.82),23011/134436 (17.12%)
ratemds,Rct1Y (2020-08-01),29159,24283,3904,3756,3756 (100.00%),3.56 (1.60),3.80 (0.97),9977/73870 (13.51%),1364 (36.32%),1.76 (0.83),3.66 (0.85),1827/21396 (8.54%),1254 (33.39%),4.40 (1.06),4.34 (0.99),5568/34821 (15.99%),1138 (30.30%),4.78 (0.52),3.39 (0.82),2582/17653 (14.63%)
yelp,Rct1Y (2020-08-01),15926,13964,6426,6238,6238 (100.00%),3.45 (1.64),3.65 (1.05),16182/145616 (11.11%),2339 (37.50%),1.80 (1.02),3.66 (0.94),5471/51442 (10.64%),1776 (28.47%),4.03 (1.29),4.00 (1.23),6496/51680 (12.57%),2123 (34.03%),4.78 (0.59),3.34 (0.92),4215/42494 (9.92%)
zocdoc,Rct1Y (2020-08-01),28055,8684,3190,2765,2765 (100.00%),4.77 (0.54),4.80 (0.32),21763/97087 (22.42%),267 (9.66%),3.53 (0.96),4.77 (0.30),1441/7538 (19.12%),2309 (83.51%),4.90 (0.21),4.87 (0.19),19530/84907 (23.00%),189 (6.84%),4.94 (0.21),4.08 (0.60),792/4642 (17.06%)
all,Rct1Y (2020-08-01),125030,125030,76788,76508,76508 (100.00%),3.93 (1.50),3.95 (0.85),418682/2548108 (16.43%),21368 (27.93%),1.87 (1.05),3.77 (0.83),49582/582144 (8.52%),27101 (35.42%),4.59 (0.78),4.48 (0.72),254209/1283110 (19.81%),28039 (36.65%),4.86 (0.42),3.58 (0.71),114891/682854 (16.83%)
all(zocdoc),Rct1Y (2020-08-01),125030,125030,77783,77511,77511 (100.00%),3.96 (1.48),3.98 (0.84),442875/2725514 (16.25%),21148 (27.28%),1.90 (1.06),3.80 (0.82),50412/603820 (8.35%),28309 (36.52%),4.61 (0.76),4.50 (0.69),273351/1405134 (19.45%),28054 (36.19%),4.86 (0.41),3.60 (0.71),119112/716560 (16.62%)
