Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),719717,333990,246960,168130,168130 (100.00%),3.99 (1.36),3.88 (1.35),977455/1748293 (55.91%),42369 (25.20%),2.43 (1.19),4.38 (0.88),133134/301242 (44.20%),72382 (43.05%),4.49 (1.07),4.49 (1.07),544396/940682 (57.87%),53379 (31.75%),4.54 (0.77),2.64 (1.16),299925/506369 (59.23%)
vitals,Rct3Y (2018-08-01),720293,497593,225992,209710,209710 (100.00%),3.71 (1.58),3.97 (0.86),697681/4143315 (16.84%),74620 (35.58%),1.89 (1.01),4.03 (0.71),190692/1457468 (13.08%),56591 (26.99%),4.48 (0.89),4.39 (0.82),249626/1272670 (19.61%),78499 (37.43%),4.88 (0.40),3.61 (0.86),257363/1413177 (18.21%)
ratemds,Rct3Y (2018-08-01),152678,50377,12623,10628,10628 (100.00%),3.57 (1.53),3.73 (1.04),34342/143347 (23.96%),3797 (35.73%),1.94 (0.91),3.77 (0.89),6638/42472 (15.63%),3307 (31.12%),4.25 (1.14),4.21 (1.08),18022/58494 (30.81%),3524 (33.16%),4.68 (0.63),3.24 (0.94),9682/42381 (22.85%)
yelp,Rct3Y (2018-08-01),30902,19532,14144,11657,11657 (100.00%),3.50 (1.42),3.59 (1.23),59943/194456 (30.83%),3951 (33.89%),2.30 (1.12),4.00 (0.93),17351/58280 (29.77%),4136 (35.48%),3.86 (1.27),3.86 (1.26),29378/90689 (32.39%),3570 (30.63%),4.42 (0.86),2.82 (1.12),13214/45487 (29.05%)
zocdoc,Rct3Y (2018-08-01),160694,22042,13697,8758,8758 (100.00%),4.78 (0.45),4.80 (0.31),143288/349873 (40.95%),631 (7.20%),3.64 (0.93),4.75 (0.34),5436/17703 (30.71%),7627 (87.09%),4.87 (0.21),4.85 (0.20),132714/319843 (41.49%),500 (5.71%),4.87 (0.25),4.05 (0.57),5138/12327 (41.68%)
all,Rct3Y (2018-08-01),887354,587562,353574,310894,310894 (100.00%),3.87 (1.40),3.99 (0.90),1899194/7262792 (26.15%),97538 (31.37%),2.21 (1.06),4.08 (0.73),372737/2047045 (18.21%),106139 (34.14%),4.43 (0.87),4.37 (0.82),903685/3023770 (29.89%),107217 (34.49%),4.81 (0.48),3.53 (0.91),622772/2191977 (28.41%)
all(zocdoc),Rct3Y (2018-08-01),887354,589250,356800,313668,313668 (100.00%),3.89 (1.39),4.01 (0.89),2083279/7757987 (26.85%),96035 (30.62%),2.23 (1.07),4.09 (0.73),374580/2070024 (18.10%),110732 (35.30%),4.45 (0.85),4.39 (0.80),1053767/3432651 (30.70%),106901 (34.08%),4.81 (0.47),3.53 (0.91),654932/2255312 (29.04%)
