Platform,Recent,WebPhyNum,HasRvwNum,HasRctNum,HasRctPst1Num,T,T_recentscore,T_pastscore,T_recentrvw/allrvw,D,D_recentscore,D_pastscore,D_recentrvw/allrvw,M,M_recentscore,M_pastscore,M_recentrvw/allrvw,I,I_recentscore,I_pastscore,I_recentrvw/allrvw
healthgrades,Rct3Y (2018-08-01),213129,189001,152782,127982,127982 (100.00%),4.00 (1.31),3.89 (1.29),904033/1598688 (56.55%),32552 (25.43%),2.52 (1.18),4.34 (0.88),112897/261298 (43.21%),53561 (41.85%),4.49 (1.00),4.49 (1.00),513320/878459 (58.43%),41869 (32.71%),4.52 (0.76),2.76 (1.12),277816/458931 (60.54%)
vitals,Rct3Y (2018-08-01),231569,230079,152355,150772,150772 (100.00%),3.71 (1.52),4.02 (0.67),612069/3859882 (15.86%),55776 (36.99%),2.01 (1.01),4.00 (0.62),161591/1363135 (11.85%),39552 (26.23%),4.45 (0.77),4.33 (0.66),226001/1198437 (18.86%),55444 (36.77%),4.88 (0.37),3.81 (0.63),224477/1298310 (17.29%)
ratemds,Rct3Y (2018-08-01),47881,33461,10541,9519,9519 (100.00%),3.57 (1.52),3.74 (1.00),32967/139477 (23.64%),3418 (35.91%),1.94 (0.90),3.75 (0.87),6164/41098 (15.00%),2917 (30.64%),4.25 (1.10),4.21 (1.04),17518/57197 (30.63%),3184 (33.45%),4.69 (0.61),3.29 (0.90),9285/41182 (22.55%)
yelp,Rct3Y (2018-08-01),20243,16234,12463,10819,10819 (100.00%),3.50 (1.40),3.58 (1.21),58548/191003 (30.65%),3670 (33.92%),2.32 (1.11),3.98 (0.92),16848/57056 (29.53%),3846 (35.55%),3.84 (1.25),3.84 (1.23),28924/89621 (32.27%),3303 (30.53%),4.41 (0.86),2.84 (1.11),12776/44326 (28.82%)
zocdoc,Rct3Y (2018-08-01),49781,13687,8041,5975,5975 (100.00%),4.78 (0.45),4.80 (0.30),102615/260287 (39.42%),444 (7.43%),3.66 (0.91),4.76 (0.33),3893/13144 (29.62%),5189 (86.85%),4.87 (0.21),4.85 (0.20),95022/238120 (39.91%),342 (5.72%),4.87 (0.23),4.08 (0.51),3700/9023 (41.01%)
all,Rct3Y (2018-08-01),240531,240531,202343,200518,200518 (100.00%),3.88 (1.29),4.02 (0.67),1700846/6681424 (25.46%),64353 (32.09%),2.39 (1.01),4.02 (0.62),307900/1864020 (16.52%),69229 (34.53%),4.35 (0.75),4.27 (0.65),839811/2849354 (29.47%),66936 (33.38%),4.82 (0.42),3.77 (0.64),553135/1968050 (28.11%)
all(zocdoc),Rct3Y (2018-08-01),240531,240531,202972,201184,201184 (100.00%),3.90 (1.27),4.04 (0.66),1827730/7048981 (25.93%),62993 (31.31%),2.40 (1.01),4.03 (0.62),306791/1872511 (16.38%),71613 (35.60%),4.37 (0.73),4.29 (0.64),945491/3159884 (29.92%),66578 (33.09%),4.82 (0.41),3.78 (0.63),575448/2016586 (28.54%)
