name,rptratings,rptreviews,cltreviews,stdreviews,stdTx0reviews,goodreviews,finalreviews,phynum,phynumTxTsScAug
healthgrades,5505983.0,2148014.0,2148323,2148323,2148323,2148323,2120982,719717,333990
vitals,6063074.0,2111421.0,6063074,6063074,6063074,6063071,6056497,720293,497593
ratemds,296917.0,296917.0,296904,296904,296904,296904,295674,152678,50377
yelp,222420.0,222420.0,221984,221984,221984,221984,220400,30902,19532
zocdoc,2705095.0,2705095.0,901681,901681,901681,559285,550787,167996,22986
